entity	from	gene	desc	ncg.bst	diff.btw	diff.win	qval0.0	qval0.1	qval0.2	qval0.3	qval0.4	qval0.5
ENSG00000001460	0.1	STPG1	sperm tail PG-rich repeat containing 1 	n/a	0.182380235223857	0.610902901756901	0.0123128075190347	0.239300032465489	0.356868598646553	0.405713524390988	0.433686797949093	0.453865469856241
ENSG00000001631	0.1	KRIT1	KRIT1 ankyrin repeat containing 	n/a	0.166637449297749	0.611302607068712	0.0108521393065961	0.248961277137759	0.36136190790065	0.407007340905292	0.439325001387068	0.460255631116017
ENSG00000002587	0.1	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1 	n/a	-0.28012810166677	1.11205469621237	0.0239868458967015	0.198098430212526	0.322930722921197	0.376920096233919	0.397196838582816	0.411085902510017
ENSG00000002746	0.1	HECW1	"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 "	n/a	-0.526644805734502	1.78039408108715	0.0138848765780629	0.0825988374144306	0.230895454319058	0.306177412878547	0.339762298299647	0.362039014096019
ENSG00000003393	0.1	ALS2	alsin Rho guanine nucleotide exchange factor ALS2 	n/a	0.176393064569321	0.578427065065125	0.00157514541635875	0.17565213787302	0.308298102175402	0.366406446354728	0.399149986527449	0.425136456174548
ENSG00000003509	0.1	NDUFAF7	NADH:ubiquinone oxidoreductase complex assembly factor 7 	n/a	0.220094281294507	0.493010658266321	9.43530955670588e-05	0.131372859692895	0.267730232968506	0.341388973114436	0.370794491810966	0.403438570940569
ENSG00000004534	0.1	RBM6	RNA binding motif protein 6 	n/a	-0.2678360331994	0.560634929661326	1.72622383241954e-06	0.0838561031551291	0.256340228048311	0.314540722726556	0.364597750857466	0.378314839067327
ENSG00000004766	0.1	VPS50	VPS50 subunit of EARP/GARPII complex 	n/a	0.263979362033578	0.687060877097829	0.000368099148044374	0.109727924601417	0.24129315053359	0.319910154172304	0.358732930323626	0.380780224306877
ENSG00000004866	0.1	ST7	suppression of tumorigenicity 7 	n/a	0.332520917861777	0.70555078190651	4.84027253950121e-05	0.0724718791619201	0.218005739167129	0.29392859985424	0.338205096979724	0.363747303939054
ENSG00000005100	0.1	DHX33	DEAH-box helicase 33 	n/a	0.191753014321099	0.618293134937271	0.000484699467857287	0.149351992945069	0.284819838888191	0.348775981648839	0.377655177378851	0.408338091367135
