entity	from	gene	desc	ncg.bst	estimate	diff.win	qval0.0	qval0.1	qval0.2	qval0.3	qval0.4	qval0.5
ENSG00000001460	0.1	STPG1	sperm tail PG-rich repeat containing 1 	n/a	0.168454037966393	0.885657138314538	0.0125753685838344	0.197119035070559	0.343404160700728	0.402864748695016	0.423353859467042	0.432563623384171
ENSG00000001631	0.1	KRIT1	KRIT1 ankyrin repeat containing 	n/a	0.159925102909959	0.838881461828461	0.0116395714912135	0.205229192832492	0.349609578615386	0.404194419284606	0.42458274998707	0.436770241116845
ENSG00000002587	0.1	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1 	n/a	-0.296117070295212	1.6044103091301	0.0242954770917495	0.137325499584501	0.275054867901225	0.33476492975968	0.370944399218966	0.399496094572802
ENSG00000002746	0.1	HECW1	"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 "	n/a	-0.495466388543033	2.49144603040671	0.014890589008788	0.0577529035425077	0.162792976146473	0.237937438182488	0.294859548738187	0.327798706673351
ENSG00000003393	0.1	ALS2	alsin Rho guanine nucleotide exchange factor ALS2 	n/a	0.199260327406186	0.854037136991783	0.00158314814588747	0.115932919035509	0.282401143831386	0.362769248664255	0.399047956847686	0.416003659816039
ENSG00000003509	0.1	NDUFAF7	NADH:ubiquinone oxidoreductase complex assembly factor 7 	n/a	0.221481960381689	0.776641154852538	0.000103702862561469	0.0690885162172526	0.235520970451962	0.322374217174743	0.378972441779126	0.399120240371231
ENSG00000004766	0.1	VPS50	VPS50 subunit of EARP/GARPII complex 	n/a	0.264767972091398	1.01771670019781	0.000381165958765341	0.0558396460922113	0.200872157391614	0.296860303003466	0.356653894099802	0.38900224640058
ENSG00000005100	0.1	DHX33	DEAH-box helicase 33 	n/a	0.216609288404626	0.850427467619059	0.000522656275757113	0.0856177907904601	0.254848785073857	0.338664654676713	0.387942992218415	0.407249782614722
ENSG00000005238	0.1	ATOSB	atos homolog B 	n/a	0.281331624520621	1.24806634571535	0.00232601536732488	0.0647758905641349	0.212954971281076	0.303827536492728	0.359534248019962	0.392103572551788
ENSG00000005302	0.1	MSL3	MSL complex subunit 3 	n/a	0.200649673337001	0.866255218795923	0.00173861751019278	0.116730549033019	0.282251233871918	0.361508349754706	0.398695009696403	0.415659823834267
ENSG00000005339	0.1	CREBBP	CREB binding protein 	validated	0.200039481776102	0.894044319617159	0.00248592636450093	0.121748795443985	0.288195766589378	0.367004682086475	0.401115534986624	0.41803344180487
ENSG00000005884	0.1	ITGA3	integrin subunit alpha 3 	n/a	-0.392441416922247	1.80450666590582	0.00530836849894315	0.0553148736175719	0.182234809898451	0.269866632860593	0.312735774062174	0.344790221549007
ENSG00000005889	0.1	ZFX	zinc finger protein X-linked 	n/a	0.20543050058673	1.05436756373165	0.00953818088320657	0.143618734159055	0.302457124646442	0.377065467940994	0.406678087645699	0.422755202044984
