Gene stable ID version	Gene stable ID	HGNC symbol	HGNC ID	Gene name	Gene description
ENSG00000000003.17	ENSG00000000003	TSPAN6	HGNC:11858	TSPAN6	tetraspanin 6 
ENSG00000000005.6	ENSG00000000005	TNMD	HGNC:17757	TNMD	tenomodulin 
ENSG00000000419.15	ENSG00000000419	DPM1	HGNC:3005	DPM1	"dolichyl-phosphate mannosyltransferase subunit 1, catalytic "
ENSG00000000457.15	ENSG00000000457	SCYL3	HGNC:19285	SCYL3	SCY1 like pseudokinase 3 
ENSG00000000460.18	ENSG00000000460	FIRRM	HGNC:25565	FIRRM	FIGNL1 interacting regulator of recombination and mitosis 
ENSG00000000938.14	ENSG00000000938	FGR	HGNC:3697	FGR	"FGR proto-oncogene, Src family tyrosine kinase "
ENSG00000000971.18	ENSG00000000971	CFH	HGNC:4883	CFH	complement factor H 
ENSG00000001036.15	ENSG00000001036	FUCA2	HGNC:4008	FUCA2	alpha-L-fucosidase 2 
ENSG00000001084.14	ENSG00000001084	GCLC	HGNC:4311	GCLC	glutamate-cysteine ligase catalytic subunit 
ENSG00000001167.16	ENSG00000001167	NFYA	HGNC:7804	NFYA	nuclear transcription factor Y subunit alpha 
ENSG00000001460.19	ENSG00000001460	STPG1	HGNC:28070	STPG1	sperm tail PG-rich repeat containing 1 
ENSG00000001461.20	ENSG00000001461	NIPAL3	HGNC:25233	NIPAL3	NIPA like domain containing 3 
ENSG00000001497.19	ENSG00000001497	LAS1L	HGNC:25726	LAS1L	LAS1 like ribosome biogenesis factor 
ENSG00000001561.8	ENSG00000001561	ENPP4	HGNC:3359	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 
ENSG00000001617.13	ENSG00000001617	SEMA3F	HGNC:10728	SEMA3F	semaphorin 3F 
ENSG00000001626.19	ENSG00000001626	CFTR	HGNC:1884	CFTR	CF transmembrane conductance regulator 
ENSG00000001629.11	ENSG00000001629	ANKIB1	HGNC:22215	ANKIB1	ankyrin repeat and IBR domain containing 1 
ENSG00000001630.19	ENSG00000001630	CYP51A1	HGNC:2649	CYP51A1	cytochrome P450 family 51 subfamily A member 1 
ENSG00000001631.18	ENSG00000001631	KRIT1	HGNC:1573	KRIT1	KRIT1 ankyrin repeat containing 
ENSG00000002016.19	ENSG00000002016	RAD52	HGNC:9824	RAD52	"RAD52 homolog, DNA repair protein "
ENSG00000002330.15	ENSG00000002330	BAD	HGNC:936	BAD	BCL2 associated agonist of cell death 
ENSG00000002549.14	ENSG00000002549	LAP3	HGNC:18449	LAP3	leucine aminopeptidase 3 
ENSG00000002586.21	ENSG00000002586	CD99	HGNC:7082	CD99	CD99 molecule (Xg blood group) 
ENSG00000002587.11	ENSG00000002587	HS3ST1	HGNC:5194	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1 
ENSG00000002726.22	ENSG00000002726	AOC1	HGNC:80	AOC1	amine oxidase copper containing 1 
ENSG00000002746.16	ENSG00000002746	HECW1	HGNC:22195	HECW1	"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 "
ENSG00000002822.17	ENSG00000002822	MAD1L1	HGNC:6762	MAD1L1	mitotic arrest deficient 1 like 1 
ENSG00000002834.20	ENSG00000002834	LASP1	HGNC:6513	LASP1	LIM and SH3 protein 1 
ENSG00000002919.16	ENSG00000002919	SNX11	HGNC:14975	SNX11	sorting nexin 11 
ENSG00000002933.10	ENSG00000002933	TMEM176A	HGNC:24930	TMEM176A	transmembrane protein 176A 
ENSG00000003056.9	ENSG00000003056	M6PR	HGNC:6752	M6PR	"mannose-6-phosphate receptor, cation dependent "
ENSG00000003096.16	ENSG00000003096	KLHL13	HGNC:22931	KLHL13	kelch like family member 13 
ENSG00000003137.9	ENSG00000003137	CYP26B1	HGNC:20581	CYP26B1	cytochrome P450 family 26 subfamily B member 1 
ENSG00000003147.20	ENSG00000003147	ICA1	HGNC:5343	ICA1	islet cell autoantigen 1 
ENSG00000003249.16	ENSG00000003249	DBNDD1	HGNC:28455	DBNDD1	dysbindin domain containing 1 
ENSG00000003393.17	ENSG00000003393	ALS2	HGNC:443	ALS2	alsin Rho guanine nucleotide exchange factor ALS2 
ENSG00000003400.17	ENSG00000003400	CASP10	HGNC:1500	CASP10	caspase 10 
ENSG00000003402.22	ENSG00000003402	CFLAR	HGNC:1876	CFLAR	CASP8 and FADD like apoptosis regulator 
ENSG00000003436.17	ENSG00000003436	TFPI	HGNC:11760	TFPI	tissue factor pathway inhibitor 
ENSG00000003509.17	ENSG00000003509	NDUFAF7	HGNC:28816	NDUFAF7	NADH:ubiquinone oxidoreductase complex assembly factor 7 
ENSG00000003756.18	ENSG00000003756	RBM5	HGNC:9902	RBM5	RNA binding motif protein 5 
ENSG00000003987.15	ENSG00000003987	MTMR7	HGNC:7454	MTMR7	myotubularin related protein 7 
ENSG00000003989.19	ENSG00000003989	SLC7A2	HGNC:11060	SLC7A2	solute carrier family 7 member 2 
ENSG00000004059.12	ENSG00000004059	ARF5	HGNC:658	ARF5	ARF GTPase 5 
ENSG00000004139.15	ENSG00000004139	SARM1	HGNC:17074	SARM1	sterile alpha and TIR motif containing 1 
ENSG00000004142.13	ENSG00000004142	POLDIP2	HGNC:23781	POLDIP2	DNA polymerase delta interacting protein 2 
ENSG00000004399.14	ENSG00000004399	PLXND1	HGNC:9107	PLXND1	plexin D1 
ENSG00000004455.19	ENSG00000004455	AK2	HGNC:362	AK2	adenylate kinase 2 
ENSG00000004468.14	ENSG00000004468	CD38	HGNC:1667	CD38	CD38 molecule 
ENSG00000004478.9	ENSG00000004478	FKBP4	HGNC:3720	FKBP4	FKBP prolyl isomerase 4 
ENSG00000004487.19	ENSG00000004487	KDM1A	HGNC:29079	KDM1A	lysine demethylase 1A 
ENSG00000004534.16	ENSG00000004534	RBM6	HGNC:9903	RBM6	RNA binding motif protein 6 
ENSG00000004660.16	ENSG00000004660	CAMKK1	HGNC:1469	CAMKK1	calcium/calmodulin dependent protein kinase kinase 1 
ENSG00000004700.17	ENSG00000004700	RECQL	HGNC:9948	RECQL	RecQ like helicase 
ENSG00000004766.18	ENSG00000004766	VPS50	HGNC:25956	VPS50	VPS50 subunit of EARP/GARPII complex 
ENSG00000004776.14	ENSG00000004776	HSPB6	HGNC:26511	HSPB6	heat shock protein family B (small) member 6 
ENSG00000004777.19	ENSG00000004777	ARHGAP33	HGNC:23085	ARHGAP33	Rho GTPase activating protein 33 
ENSG00000004779.11	ENSG00000004779	NDUFAB1	HGNC:7694	NDUFAB1	NADH:ubiquinone oxidoreductase subunit AB1 
ENSG00000004799.9	ENSG00000004799	PDK4	HGNC:8812	PDK4	pyruvate dehydrogenase kinase 4 
ENSG00000004838.15	ENSG00000004838	ZMYND10	HGNC:19412	ZMYND10	zinc finger MYND-type containing 10 
ENSG00000004846.17	ENSG00000004846	ABCB5	HGNC:46	ABCB5	ATP binding cassette subfamily B member 5 
ENSG00000004848.8	ENSG00000004848	ARX	HGNC:18060	ARX	aristaless related homeobox 
ENSG00000004864.15	ENSG00000004864	SLC25A13	HGNC:10983	SLC25A13	solute carrier family 25 member 13 
ENSG00000004866.23	ENSG00000004866	ST7	HGNC:11351	ST7	suppression of tumorigenicity 7 
ENSG00000004897.13	ENSG00000004897	CDC27	HGNC:1728	CDC27	cell division cycle 27 
ENSG00000004948.17	ENSG00000004948	CALCR	HGNC:1440	CALCR	calcitonin receptor 
ENSG00000004961.16	ENSG00000004961	HCCS	HGNC:4837	HCCS	holocytochrome c synthase 
ENSG00000004975.13	ENSG00000004975	DVL2	HGNC:3086	DVL2	dishevelled segment polarity protein 2 
ENSG00000005001.11	ENSG00000005001	PRSS22	HGNC:14368	PRSS22	serine protease 22 
ENSG00000005007.15	ENSG00000005007	UPF1	HGNC:9962	UPF1	UPF1 RNA helicase and ATPase 
ENSG00000005020.14	ENSG00000005020	SKAP2	HGNC:15687	SKAP2	src kinase associated phosphoprotein 2 
ENSG00000005022.7	ENSG00000005022	SLC25A5	HGNC:10991	SLC25A5	solute carrier family 25 member 5 
ENSG00000005059.17	ENSG00000005059	MCUB	HGNC:26076	MCUB	mitochondrial calcium uniporter dominant negative subunit beta 
ENSG00000005073.6	ENSG00000005073	HOXA11	HGNC:5101	HOXA11	homeobox A11 
ENSG00000005075.17	ENSG00000005075	POLR2J	HGNC:9197	POLR2J	RNA polymerase II subunit J 
ENSG00000005100.13	ENSG00000005100	DHX33	HGNC:16718	DHX33	DEAH-box helicase 33 
ENSG00000005102.15	ENSG00000005102	MEOX1	HGNC:7013	MEOX1	mesenchyme homeobox 1 
ENSG00000005108.17	ENSG00000005108	THSD7A	HGNC:22207	THSD7A	thrombospondin type 1 domain containing 7A 
ENSG00000005156.13	ENSG00000005156	LIG3	HGNC:6600	LIG3	DNA ligase 3 
ENSG00000005175.11	ENSG00000005175	RPAP3	HGNC:26151	RPAP3	RNA polymerase II associated protein 3 
ENSG00000005187.13	ENSG00000005187	ACSM3	HGNC:10522	ACSM3	acyl-CoA synthetase medium chain family member 3 
ENSG00000005189.21	ENSG00000005189	REXO5	HGNC:24661	REXO5	RNA exonuclease 5 
ENSG00000005194.16	ENSG00000005194	CIAPIN1	HGNC:28050	CIAPIN1	cytokine induced apoptosis inhibitor 1 
ENSG00000005206.18	ENSG00000005206	SPPL2B	HGNC:30627	SPPL2B	signal peptide peptidase like 2B 
ENSG00000005238.21	ENSG00000005238	ATOSB	HGNC:25666	ATOSB	atos homolog B 
ENSG00000005243.11	ENSG00000005243	COPZ2	HGNC:19356	COPZ2	COPI coat complex subunit zeta 2 
ENSG00000005249.15	ENSG00000005249	PRKAR2B	HGNC:9392	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta 
ENSG00000005302.19	ENSG00000005302	MSL3	HGNC:7370	MSL3	MSL complex subunit 3 
ENSG00000005339.15	ENSG00000005339	CREBBP	HGNC:2348	CREBBP	CREB binding protein 
ENSG00000005379.17	ENSG00000005379	TSPOAP1	HGNC:16831	TSPOAP1	TSPO associated protein 1 
ENSG00000005381.9	ENSG00000005381	MPO	HGNC:7218	MPO	myeloperoxidase 
ENSG00000005421.10	ENSG00000005421	PON1	HGNC:9204	PON1	paraoxonase 1 
ENSG00000005436.15	ENSG00000005436	GCFC2	HGNC:1317	GCFC2	GC-rich sequence DNA-binding factor 2 
ENSG00000005448.18	ENSG00000005448	WDR54	HGNC:25770	WDR54	WD repeat domain 54 
ENSG00000005469.13	ENSG00000005469	CROT	HGNC:2366	CROT	carnitine O-octanoyltransferase 
ENSG00000005471.20	ENSG00000005471	ABCB4	HGNC:45	ABCB4	ATP binding cassette subfamily B member 4 
ENSG00000005483.23	ENSG00000005483	KMT2E	HGNC:18541	KMT2E	lysine methyltransferase 2E (inactive) 
ENSG00000005486.18	ENSG00000005486	RHBDD2	HGNC:23082	RHBDD2	rhomboid domain containing 2 
ENSG00000005513.11	ENSG00000005513	SOX8	HGNC:11203	SOX8	SRY-box transcription factor 8 
ENSG00000005700.16	ENSG00000005700	IBTK	HGNC:17853	IBTK	inhibitor of Bruton tyrosine kinase 
