gene	status
A2ML1	candidate
AADACL4	candidate
ABCA10	candidate
ABCA13	candidate
ABCA7	candidate
ABCB1	candidate
ABCB5	candidate
ABCC3	candidate
ABCC5	candidate
ABCC9	candidate
ABCD1	candidate
ABCF1	candidate
ABCF2	candidate
ABCG2	candidate
ABCG8	candidate
ABHD15	candidate
ABI3	candidate
ABLIM2	candidate
ACAN	candidate
ACD	candidate
ACE	candidate
ACO1	candidate
ACOXL	candidate
ACSL6	candidate
ACSM1	candidate
ACSM2A	candidate
ACSM4	candidate
ACTB	candidate
ACTG1	candidate
ACTL6B	candidate
ACTL7B	candidate
ACVR2B	candidate
ADAM10	candidate
ADAM2	candidate
ADAM22	candidate
ADAM29	candidate
ADAM7	candidate
ADAMTS12	candidate
ADAMTS17	candidate
ADAMTS18	candidate
ADAMTS19	candidate
ADAMTS20	candidate
ADAMTS3	candidate
ADAMTS5	candidate
ADAMTS6	candidate
ADAMTS9	candidate
ADAMTSL3	candidate
ADCK1	candidate
ADCY1	candidate
ADCY2	candidate
ADCY3	candidate
ADCY5	candidate
ADCY8	candidate
ADD2	candidate
ADD3	candidate
ADGRA1	candidate
ADGRB3	candidate
ADGRD1	candidate
ADGRF2	candidate
ADGRG4	candidate
ADGRG6	candidate
ADGRL1	candidate
ADGRL2	candidate
ADGRL3	candidate
ADGRV1	candidate
ADH1B	candidate
ADIG	candidate
ADIPOQ	candidate
ADNP	candidate
ADRA1A	candidate
ADRA1B	candidate
ADRB3	candidate
AFF2	candidate
AFM	candidate
AFMID	candidate
AGBL2	candidate
AGBL5	candidate
AGGF1	candidate
AGO4	candidate
AGTR2	candidate
AHCTF1	candidate
AHCYL2	candidate
AHI1	candidate
AHNAK	candidate
AHNAK2	candidate
AHSA1	candidate
AJAP1	candidate
AJUBA	candidate
AK8	candidate
AKAP11	candidate
AKAP13	candidate
AKAP6	candidate
AKAP8	candidate
AKAP9	candidate
AKR1B10	candidate
AKR1C2	candidate
AKR1D1	candidate
ALB	candidate
ALDH5A1	candidate
ALDOA	candidate
ALKBH6	candidate
ALLC	candidate
ALMS1	candidate
ALOX12	candidate
ALOX12B	candidate
ALPK1	candidate
ALPK2	candidate
ALS2CL	candidate
ALX4	candidate
ALYREF	candidate
AMOT	candidate
AMOTL1	candidate
AMPH	candidate
AMY2B	candidate
ANG	candidate
ANGPT1	candidate
ANK2	candidate
ANK3	candidate
ANKLE2	candidate
ANKRD12	candidate
ANKRD13A	candidate
ANKRD16	candidate
ANKRD17	candidate
ANKRD18A	candidate
ANKRD24	candidate
ANKRD26	candidate
ANKRD30BL	candidate
ANKRD36	candidate
ANKRD36C	candidate
ANKRD50	candidate
ANLN	candidate
ANO4	candidate
ANPEP	candidate
ANXA2	candidate
ANXA8L1	candidate
AOX1	candidate
AP1B1	candidate
AP1S1	candidate
AP2A1	candidate
AP3D1	candidate
API5	candidate
APLNR	candidate
APMAP	candidate
APOB	candidate
APOBEC2	candidate
APOBR	candidate
APOL2	candidate
AQP12A	candidate
AQP7	candidate
AREG	candidate
ARHGAP28	candidate
ARHGAP32	candidate
ARHGAP35	candidate
ARHGAP4	candidate
ARHGEF11	candidate
ARHGEF18	candidate
ARHGEF25	candidate
ARHGEF3	candidate
ARHGEF6	candidate
ARID3B	candidate
ARID5B	candidate
ARIH1	candidate
ARMCX3	candidate
ARMH3	candidate
ARNT2	candidate
ARNTL	candidate
ARPC1B	candidate
ARRDC5	candidate
ARSD	candidate
ASAP2	candidate
ASB15	candidate
ASB9	candidate
ASCC2	candidate
ASCC3	candidate
ASH1L	candidate
ASL	candidate
ASPHD1	candidate
