gene	status
ACTG1	candidate
ACTL6B	candidate
ADAMTS6	candidate
AFF2	candidate
AGTR2	candidate
AK8	candidate
ALDOA	candidate
ANLN	candidate
AQP12A	candidate
ARHGAP35	candidate
ATAD2	candidate
AZI2	candidate
CACNA1E	candidate
CALB2	candidate
CASZ1	candidate
CCNI	candidate
CDKN2B	candidate
CIAO2A	candidate
CILP2	candidate
CITED2	candidate
CLEC19A	candidate
CTNNA1	candidate
CTSS	candidate
CYP2A7	candidate
DCAF4L2	candidate
DCTD	candidate
ELMO3	candidate
EML5	candidate
ENC1	candidate
EPPK1	candidate
EXOC2	candidate
FBXO32	candidate
FLG	candidate
FNBP1L	candidate
FRMPD2	candidate
GAL3ST1	candidate
GLI3	candidate
GPR32	candidate
GPRIN2	candidate
GPS2	candidate
GRHL2	candidate
GRIA2	candidate
GRIN1	candidate
HECW2	candidate
HLA-DRB1	candidate
HRNR	candidate
IGF1R	candidate
IL22	candidate
IRAK4	candidate
IRF2BP2	candidate
ITCH	candidate
KCNN3	candidate
LGALS1	candidate
LONRF3	candidate
LRIG2	candidate
LRRC66	candidate
MAMLD1	candidate
MED23	candidate
MMAB	candidate
MST1	candidate
MTHFD2	candidate
MYO1H	candidate
NADK	candidate
NBL1	candidate
NCOA3	candidate
NDST4	candidate
NEK2	candidate
NES	candidate
NOL9	candidate
ODC1	candidate
OR2D2	candidate
OR6A2	candidate
OSR2	candidate
PARP4	candidate
PAX2	candidate
PIGY	candidate
PIK3AP1	candidate
PIK3C3	candidate
PLA2G4D	candidate
PLEKHS1	candidate
POC5	candidate
POLR1G	candidate
PPM1L	candidate
PRICKLE2	candidate
PRKD1	candidate
PTGFR	candidate
PTPN22	candidate
RAB42	candidate
RBMX	candidate
RHBG	candidate
RIMBP2	candidate
RIPOR2	candidate
RNF213	candidate
RO60	candidate
RPGR	candidate
RSBN1	candidate
SEMA6D	candidate
SEPTIN9	candidate
SLC13A1	candidate
SMURF2	candidate
STAB1	candidate
TBC1D12	candidate
TCP11	candidate
TEX44	candidate
TMEM199	candidate
TRAF5	candidate
TTC21B	candidate
USH2A	candidate
USP9X	candidate
WDR74	candidate
XBP1	candidate
ZCCHC24	candidate
ZFP36L1	candidate
ZNF143	candidate
ZNF217	candidate
ZNF28	candidate
ZNF33A	candidate
ZNF362	candidate
ZNF462	candidate
CHD8	candidate
PCNX4	candidate
SYNE1	candidate
AURKA	candidate
DIS3	candidate
DNMT3B	candidate
EPHA6	candidate
EPHB1	candidate
MCL1	candidate
NOTCH3	candidate
PIK3CD	candidate
RPTOR	candidate
SHQ1	candidate
TBK1	candidate
ACVR1B	validated
AFDN	validated
AKT1	validated
AKT2	validated
APC	validated
ARID1A	validated
ARID1B	validated
ARID2	validated
ASXL1	validated
ATM	validated
ATR	validated
ATRX	validated
AXIN1	validated
BAP1	validated
BCOR	validated
BRAF	validated
BRCA1	validated
BRCA2	validated
BRIP1	validated
BUB1B	validated
CASP8	validated
CBFB	validated
CBLB	validated
CCND1	validated
CCND3	validated
CCNE1	validated
CDH1	validated
CDK6	validated
CDKN1B	validated
CDKN2A	validated
CHEK2	validated
CIC	validated
CIITA	validated
CNOT3	validated
CREBBP	validated
CTCF	validated
CTNNB1	validated
CUX1	validated
DNMT3A	validated
ECT2L	validated
EGFR	validated
EP300	validated
ERBB2	validated
ERBB3	validated
ERCC4	validated
ESR1	validated
EXT2	validated
FBXW7	validated
FGFR2	validated
FOXA1	validated
FOXO3	validated
FOXP1	validated
GATA3	validated
GNAS	validated
H3C2	validated
HRAS	validated
IRS4	validated
KDM6A	validated
KMT2A	validated
KMT2C	validated
KMT2D	validated
KRAS	validated
LEPROTL1	validated
MAP2K4	validated
MAP3K1	validated
MAP3K13	validated
MDM2	validated
MEN1	validated
MLH1	validated
MSH2	validated
MYB	validated
MYC	validated
NCOR1	validated
NF1	validated
NF2	validated
NOTCH1	validated
NOTCH2	validated
NRAS	validated
NTRK3	validated
PALB2	validated
PBRM1	validated
PDGFRA	validated
PHF6	validated
PIK3CA	validated
PIK3R1	validated
PMS2	validated
POLD1	validated
PRDM1	validated
PREX2	validated
PRKAR1A	validated
PTEN	validated
PTPRD	validated
RB1	validated
RET	validated
RHOA	validated
RUNX1	validated
SETD2	validated
SF3B1	validated
SMAD3	validated
SMAD4	validated
SMARCA4	validated
SMARCD1	validated
SPEN	validated
STAG2	validated
STK11	validated
TBL1XR1	validated
TBX3	validated
TET2	validated
TP53	validated
ZMYM3	validated
MED12	validated
ERBB4	validated
FLNA	validated
RARA	validated
ROS1	validated
AKT3	validated
ALK	validated
CBL	validated
DAXX	validated
DDR2	validated
DICER1	validated
EPHA7	validated
ERG	validated
ETV6	validated
FAS	validated
FGFR1	validated
FH	validated
GATA2	validated
GRIN2A	validated
KIT	validated
KLF6	validated
MET	validated
MITF	validated
NCOA2	validated
NTRK1	validated
PIK3CB	validated
PTPN11	validated
SPOP	validated
TGFBR2	validated
TNFAIP3	validated
TP63	validated
TSC1	validated
WT1	validated
