SRR6743920	SRR6743924	SRR6743927	SRR6743930	SRR6743933	SRR6743936	SRR6743938	SRR6743943	SRR6743949	SRR6743950	SRR6743960	SRR6743965	SRR6743966	SRR6743967	SRR6743968	SRR6743971	SRR6743974	SRR6743975	SRR6743977	SRR6743984	SRR6743990	SRR6743993	SRR6743995	SRR6744018	SRR6744021	SRR6744029	SRR6744030	SRR6744032	SRR6744035	SRR6744038	SRR6744047	SRR6744055	SRR6744056	SRR6744057	SRR6744058	SRR6744059	SRR6744060	SRR6744074	SRR6744075	SRR6744086	SRR6744087	SRR6744092	SRR6744094	SRR6744095	SRR6744097	SRR6744099	SRR6744101	SRR6744105	SRR6744107	SRR6744108	SRR6744114	SRR6744116	SRR6744121	SRR6744122	SRR6744125	SRR6744126	SRR6744133	SRR6744134	SRR6744139	SRR6744141	SRR6744142	SRR6744144	SRR6744151	SRR6744152	SRR6744156	SRR6744157	SRR6744164	SRR6744166	SRR6744169	SRR6744170	SRR6744172	SRR6744173	SRR6744176	SRR6744188	SRR6744192	SRR6744196	SRR6744200	SRR6744207	SRR6744208	SRR6744209	SRR6744218	SRR6744219	SRR6744231	SRR6744232	SRR6744238	SRR6744240	SRR6744246	SRR6744248	SRR6744250	SRR6744254	SRR6744257	SRR6744260	SRR6744261	SRR6744262	SRR6744265	SRR6744270	SRR6744279	SRR6744282	SRR6744288	SRR6744291	SRR6744295	SRR6744297	SRR6744303	SRR6744304	SRR6744305	SRR6744308	SRR6744313	SRR6744322	SRR6744326	SRR6744329	SRR6744331	SRR6744335	SRR6744338	SRR6744339	SRR6744342	SRR6744343	SRR6744356	SRR6744360	SRR6744365	SRR6744366	SRR6744367	SRR6744370	SRR6744371	SRR6744376	SRR6744378	SRR6744381	SRR6744391	SRR6744393	SRR6744401	SRR6744403	SRR6744405	SRR6744415	SRR6744421	SRR6744422	SRR6744423	SRR6744429	SRR6744431	SRR6744432	SRR6744434	SRR6744441	SRR6744443	SRR6744444	SRR6744445	SRR6744448	SRR6744454	SRR6744455	SRR6744458	SRR6744460	SRR6744461	SRR6744465	SRR6744470	SRR6744471	SRR6744476	SRR6744477	SRR6744480	SRR6744482	SRR6744485	SRR6744487	SRR6744488	SRR6744497	SRR6744499	SRR6744501	SRR6744507	SRR6744517	SRR6744518	SRR6744519	SRR6744521	SRR6744523	SRR6744535	SRR6744539	SRR6744546	SRR6744547	SRR6744553	SRR6744562	SRR6744563	SRR6744564	SRR6744565	SRR6744567	SRR6744571	SRR6744574	SRR6744576	SRR6744581	SRR6744593	SRR6744599	SRR6744600	SRR6744603	SRR6744606	SRR6744609	SRR6744611	SRR6744613	SRR6744619	SRR6744620	SRR6744623	SRR6744629	SRR6744630	SRR6744632	SRR6744635	SRR6744638	SRR6744639	SRR6744649	SRR6744653	SRR6744658	SRR6744665	SRR6744667	SRR6744673	SRR6744674	SRR6744680	SRR6744684	SRR6744685	SRR6744689	SRR6744695	SRR6744696	SRR6744701	SRR6744702	SRR6744705	SRR6744707	SRR6744710	SRR6744713	SRR6744718	SRR6744723	SRR6744726	SRR6744729	SRR6744735	SRR6744739	SRR6744745	SRR6744747	SRR6744749	SRR6744756	SRR6744758	SRR6744759	SRR6744760	SRR6744766	SRR6744770	SRR6744777	SRR6744778	SRR6744780	SRR6744783	SRR6744790	SRR6744793	SRR6744794	SRR6744796	SRR6744800	SRR6744803	SRR6744804	SRR6744805	SRR6744809	SRR6744815	SRR6744819	SRR6744826	SRR6744829	SRR6744832	SRR6744833	SRR6744842	SRR6744858	SRR6744859	SRR6744860	SRR6744862	SRR6744866	SRR6744875	SRR6744877	SRR6744878	SRR6744883	SRR6744884	SRR6744894	SRR6744896	SRR6744897	SRR6744898	SRR6744901	SRR6744902	SRR6744914	SRR6744916	SRR6744917	SRR6744918	SRR6744925	SRR6744926	SRR6744928	SRR6744930	SRR6744931	SRR6744940	SRR6744941	SRR6744945	SRR6744955	SRR6744962	SRR6744971	SRR6744972	SRR6744973	SRR6744976	SRR6744977	SRR6744980	SRR6744981	SRR6744985	SRR6744991	SRR6744992	SRR6744998	SRR6744999	SRR6745001	SRR6745004
K00001	0	0	0	220	2	0	3	0	6	0	0	7	0	0	0	0	0	0	5	0	0	446	0	0	5	8	0	0	2	19	0	0	0	5	0	0	0	0	0	0	0	839	0	0	2	10933	2	3	0	0	0	1157	1959	0	0	0	0	0	4	0	0	0	2978	0	0	0	0	0	4	0	0	0	2534	0	0	0	0	0	0	0	0	0	9024	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	9014	2	119	0	0	63	0	0	0	18	0	7	0	0	0	0	16	0	0	0	0	0	0	0	11	0	0	2	0	0	2975	0	0	0	0	0	0	0	0	1061	0	0	0	2	0	0	0	580	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	14363	0	0	0	0	0	0	0	256	37	0	0	0	8147	0	0	0	6	4	0	0	4	0	0	0	0	164	0	4	2	7	0	3	0	27	136	0	2	0	0	3	0	20	0	0	0	0	1805	4	0	95	0	0	243	0	0	0	0	4538	0	12	3	0	0	471	0	0	0	8	0	0	0	4979	0	30	2	300	0	0	2	0	0	0	2	12	796	0	0	0	0	6	0	35	16	348	0	0	0	0	0	10	0	1366	0	0	0	0	0	11	0	10	5789	0	0	0	0	0	0	59	0	6	9	34	0	0	2	0	8	0	0	3	0	6	0	0
K00002	0	61	142	0	0	44	0	0	0	0	0	0	1751	0	0	906	0	2	4	0	859	3	3	3	2	3	241	22	2	0	2852	246	0	0	0	0	3569	77	0	192	0	0	1722	6757	4008	0	0	180	0	3	867	3	0	10	49	3	0	0	0	0	0	167	4	575	1147	0	852	1570	5	43	149	153	40	68	0	0	0	226	0	14	4	0	0	203	4818	11	142	0	0	612	1000	0	87	3	18	619	62	597	19	63	0	8	8	0	492	2	0	6	6	4	376	0	0	0	4	0	0	0	9	3	20	0	585	15	25	0	0	0	0	15	0	0	333	3158	440	11877	662	0	265	282	133	86	320	5	0	2	2	3459	0	144	20	0	0	7	4	0	0	23	2	0	27	6	0	3	42	10	81	1885	180	218	7	0	0	0	19537	0	2	0	0	212	3	0	3	2	2225	77	1823	9	0	0	6	2651	0	0	0	119	0	0	5	11	287	5	0	25	2	0	215	4186	17935	21	0	9509	2	188	12	0	2465	0	0	3	0	26	0	62	0	0	0	0	0	0	0	15	0	0	0	0	0	0	19	5	1052	11	27	115	43	6	0	29	0	56	0	1143	7	106	21	80	8	3	241	2	134	578	0	502	2	0	5	2308	434	0	0	744	0	7	17	766	0	7	8891	0	2	0	7	0	373	155	0	85	790	0	441	1509	0	223	635	883	130
K00003	8	2398	9067	4	0	88	43	8	453	536	10	298	7346	66	620	69	0	29	853	14	7683	742	329	2	257	19	3102	5171	942	1866	7982	1584	13	1160	7	2071	2129	246	1777	812	553	1175	582	7980	1087	1151	4	3711	2	937	229	11	360	24	13	0	1289	11	2	2100	1379	1472	8	12439	8066	1063	15277	1854	2461	63	12825	2791	1663	3668	728	43	4	1028	181	64	0	7	0	3900	1060	1716	4395	3	108	5105	1313	29	1643	9	5857	6219	721	947	2	945	561	90	13	145	9019	904	35	274	47	281	1390	21	504	599	215	795	3083	230	1620	85	303	0	6376	228	293	3	686	2	1997	1002	454	5	9191	3861	7777	4808	2590	7	6179	50	1827	1507	9067	5632	681	403	70	12343	1522	959	690	464	2853	2	492	0	731	1008	318	106	6234	457	102	8	2929	624	8139	1390	1669	1946	899	12	1200	486	336	157	104	0	2246	2584	7	1634	537	2287	971	740	2179	16	1569	955	421	11350	111	3	0	1565	80	163	91	611	918	5654	138	2137	428	1550	410	1311	3442	151	6	1983	803	5990	8	1371	2439	766	7	11	4	1909	704	2421	3	0	9	961	267	0	15	1486	799	320	6	2	1635	0	162	106	7068	3101	1078	14264	3188	0	289	4499	941	4900	670	6986	794	3513	278	3023	54	840	601	4	763	1433	0	6143	23	6	15	402	6991	5	3	454	10	484	18	2663	1196	2044	4720	0	10	8	94	1719	14333	5581	971	553	4677	2545	1077	6350	20	2233	1720	520	2355
K00005	7	875	1176	2	0	0	11	3	673	0	0	499	871	0	0	4	0	23	0	3	0	2	0	0	2	2	1169	1018	0	440	197	609	0	472	0	0	2448	172	0	605	0	0	336	285	124	0	0	752	0	870	119	0	0	0	0	2	6	0	0	0	0	1749	11	1548	804	0	1526	0	376	5	656	588	3	429	0	0	2	779	0	35	0	7	0	692	464	230	991	0	57	272	720	2	444	2	3639	543	927	646	0	501	0	12	0	0	1150	2	76	2	9	3	2215	0	2	0	2	0	0	2	2341	51	63	3	612	4	6	0	0	3	0	1145	0	0	477	712	0	689	293	0	1364	44	426	0	195	1962	0	0	0	590	642	344	565	0	3	0	0	0	3	618	0	0	53	416	0	2	0	0	328	1186	939	680	0	0	81	4	244	0	9	0	2	281	0	0	583	3	0	0	169	0	0	0	787	475	0	0	0	253	0	0	0	3	829	754	0	385	0	0	305	847	603	7	0	94	3	1127	0	2	273	0	2	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	4	0	7	0	0	2	1341	349	558	189	603	0	2	777	0	755	0	1007	0	336	449	1040	8	990	414	0	81	0	0	726	0	5	9	272	0	0	0	162	4	279	0	1379	0	0	531	0	4	0	0	3	348	162	4	590	795	0	1907	708	2	975	1887	0	2
K00008	276	8	117	131	317	0	0	0	781	0	447	469	0	0	0	0	144	150	0	434	0	8	118	762	840	0	3	0	0	31	21	0	20	0	0	0	0	0	0	2	0	0	0	10	0	65	33	10	221	5	0	0	60	0	2	58	0	180	0	0	0	57	0	163	2	3	155	0	297	0	7	30	34	6	0	315	0	5	0	0	0	7	0	0	0	0	12	0	124	0	4	0	6	193	908	0	96	64	254	0	2	0	203	0	0	0	226	6	0	0	14	230	0	0	0	0	0	0	0	0	8	0	0	34	43	0	0	0	0	2	0	98	46	15	0	2	0	10	0	10	3	3	0	37	0	6	235	100	342	107	0	0	0	44	0	4	297	683	0	0	0	132	226	120	204	5	0	190	8	234	0	72	27	0	0	6	0	5	0	0	0	0	477	0	0	0	14	0	0	0	82	4	27	317	0	0	18	13	192	82	45	0	914	14	2	0	0	10	26	0	0	3	36	109	52	0	2	0	0	2	15	297	0	0	0	77	48	0	0	13	1235	0	0	0	136	10	0	5	243	0	24	19	184	54	0	243	0	0	0	107	0	18	0	0	0	144	0	18	5	0	0	149	560	5	0	94	0	379	0	117	62	24	275	166	594	77	3	0	40	0	762	0	0	0	13	0	4	0	11	0	289	22	118	13	23	11	34
K00009	0	0	0	17	0	3	0	5	0	415	0	28	0	204	117	0	0	2	689	56	5	2375	2	0	0	0	0	10	0	29	0	10	2	0	0	1785	0	2	408	0	2449	2652	2	0	0	1366	5	0	0	0	0	3	1118	0	0	0	37753	94	2	2932	4016	7	0	0	0	517	2	18	0	0	14	0	6	0	1387	0	0	11	159	2	0	0	0	0	0	0	0	7	0	0	0	132	33	2	0	0	0	0	0	0	1045	10	0	21	5	0	16	72	0	1240	4	0	3	175	194	2169	580	394	0	0	122	2	0	5	29	3	3001	2	5353	9	319	2	0	0	9	0	0	3	0	2	0	0	0	0	4864	1166	0	3	2	0	0	136	2423	0	820	0	1812	0	105	0	0	2	0	0	0	0	0	0	0	0	8218	0	2	1166	0	0	0	0	3592	0	0	22507	0	0	2	0	3	0	2315	8054	4	2	64	0	0	5	0	93	0	0	4	0	2	0	1894	196	0	0	0	4	0	3	1022	11	0	960	0	818	0	0	2	0	236	1143	2	0	0	385	1313	0	0	176	674	2138	0	16	15382	11	3	0	0	2	2	3	0	2	278	0	9	0	12817	0	293	0	3	0	0	0	6	2	0	0	0	0	30	3	0	0	0	0	0	0	2	272	0	0	4	828	14	0	0	0	119	3515	0	2	1150	0	2493	5	0	0	2	5	3	0	49
K00012	0	48	0	0	0	23	0	0	0	0	0	0	174	0	0	406	0	0	0	0	0	0	0	0	0	0	154	49	0	78	0	48	0	55	0	0	519	38	0	147	0	0	2903	1162	533	0	0	0	0	4	154	0	0	0	4	0	0	0	0	0	0	342	8	295	183	0	2	127	0	0	41	2	0	108	0	0	0	42	0	0	0	0	0	0	0	0	77	0	0	64	390	0	0	0	0	102	21	90	0	304	0	0	0	0	0	3	0	0	8	0	74	0	0	0	0	0	2	0	0	0	5	0	380	0	0	0	0	0	0	27	0	0	2	228	0	234	0	0	0	19	4	0	0	8	0	14	0	406	0	416	9	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	9	20	12	0	0	0	0	0	81	0	5	0	2	0	0	0	0	0	0	2	291	0	0	0	0	0	0	0	0	1755	0	0	0	2	145	0	0	64	0	0	12	121	357	0	0	637	0	45	0	0	228	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	3	0	0	146	58	3	0	0	0	0	0	272	0	0	89	0	2	4	2	0	159	0	0	159	0	0	5	41	0	0	0	59	0	0	0	0	0	0	287	0	0	0	0	0	0	0	0	0	0	0	33	836	0	0	152	24	0
K00014	0	311	485	0	0	45	25	2	301	0	0	249	1601	0	0	18	0	16	0	10	1228	0	3	2	8	5	721	240	122	364	1701	181	0	123	5	0	475	62	0	238	0	0	142	851	324	7	0	183	0	318	21	0	0	0	6	0	3	0	0	0	0	281	2	1566	1512	0	2348	449	292	7	1448	293	21	677	0	0	0	356	0	15	0	3	0	1043	156	122	835	0	15	672	156	0	140	0	724	1283	167	252	0	175	0	13	2	0	757	41	48	0	5	0	439	2	60	0	2	0	0	0	308	13	197	0	1011	7	77	0	3	0	0	214	2	0	251	231	92	1267	274	0	827	21	397	44	2598	776	0	4	0	2559	473	188	149	0	0	0	2	0	0	292	0	7	443	210	5	0	66	5	657	223	427	6213	51	2	463	0	160	24	7	0	6	92	0	0	640	0	2317	37	331	2	0	0	142	1057	0	0	0	566	2	0	4	40	165	280	0	347	0	4	69	1417	365	45	0	574	17	443	0	0	202	0	0	2	0	21	2	3	0	0	0	0	0	0	7	0	0	0	2	0	2	0	9	5	565	481	317	1132	173	0	0	325	215	827	0	1327	4	148	108	245	13	187	147	2	224	41	0	667	0	8	2	152	353	4	0	75	0	277	0	851	162	3	678	0	4	0	0	0	1359	836	0	510	310	2	306	641	4	236	222	3	374
K00016	212739	22457	91656	13369	126053	2026	64194	255	231069	32981	550473	349564	94363	2901	24956	594	96646	202212	15889	348763	25915	38089	92086	137905	831400	698	27022	91127	2760	26517	15477	11740	25164	63155	761722	69012	110756	14243	112152	49706	76329	68388	27122	18753	2964	103061	21432	74089	214591	91178	14224	227243	131337	252	103678	40438	48979	102132	297	118683	106498	41923	87216	134461	27061	53611	60119	37543	100170	266701	22629	170515	59657	13706	48832	134832	2284	67113	6904	325703	7448	3367	521455	133501	51404	6640	18564	137215	134395	5585	11179	2128	19235	105645	585855	58948	74602	42375	175483	90911	58671	1630	91909	3435	18676	364513	246966	23139	9157	30474	213446	332002	24631	118264	8363	46905	123587	38083	103885	131394	47795	39003	11154	37636	31611	87804	141265	389	68232	21912	24207	76428	58641	13732	183243	17334	8551	25205	55294	14790	316274	57299	25663	67725	32715	51051	130072	60088	130144	35780	53668	36498	257807	74419	38563	1100	120101	242101	23453	1300	52971	100102	104759	390944	121797	4707	31197	205864	22377	35361	28722	26888	228575	45356	10035	174174	205763	2779	55005	39420	3127	67121	331741	316252	12748	10386	13163	39561	110505	35189	48858	39960	13699	232286	4888	17326	14243	23087	192413	37564	74687	23171	133302	11978	35536	44416	220865	18459	26585	46361	507	24072	103975	148911	35584	73457	11021	129459	195723	39965	200796	306677	53795	83810	69267	347634	34295	63486	14366	8179	838924	34898	26987	39932	99007	25678	117594	3866	140445	588983	257389	11067	256598	24113	40957	124162	28545	129811	23018	38895	94385	36436	81651	10909	28280	198996	100627	29794	42968	350	4529	197684	599094	14320	18481	66367	3249	239108	38145	86904	135794	12376	132567	133930	273980	47146	18304	112021	22864	257585	442170	2778	7133	115595	61151	27965	116811	38794	77412	66442	331238	91543	26457	93012	218637	16215	56746
K00018	6	466	788	2	0	15	49	0	485	0	2	164	518	2	0	25	0	12	0	0	0	2	0	0	0	6	1220	921	0	1796	272	560	2	430	0	0	1757	84	0	621	0	0	452	1575	852	0	0	302	2	951	180	2	0	0	2	0	6	0	0	0	0	1104	6	505	738	0	1149	0	222	6	599	604	9	172	0	0	0	809	2	9	0	7	0	1097	880	249	957	0	28	235	359	0	200	0	1402	438	737	380	7	529	0	5	0	0	514	2	86	0	10	0	1384	0	0	0	0	2	0	0	1863	12	83	0	443	3	0	0	0	0	0	824	0	0	357	775	6	513	407	0	902	33	233	0	1159	991	0	2	0	1277	893	529	292	0	2	0	0	0	0	356	0	0	43	199	0	2	0	0	383	1011	460	638	0	0	97	3	145	2	2	0	3	790	0	0	453	4	0	0	266	0	0	0	342	417	0	0	0	311	0	0	0	7	260	504	0	170	0	5	350	1372	914	13	0	74	0	1139	0	0	454	0	0	0	2	0	0	3	0	0	0	0	0	0	3	2	0	0	4	0	4	0	0	3	717	311	520	195	540	0	0	647	4	392	0	1506	3	132	267	527	7	784	276	0	47	0	2	396	0	6	5	193	0	0	0	179	3	314	2	423	0	0	830	3	0	0	0	2	366	798	6	222	824	0	816	701	4	280	1413	0	0
