SRR6743920	SRR6743924	SRR6743927	SRR6743930	SRR6743933	SRR6743936	SRR6743938	SRR6743943	SRR6743949	SRR6743950	SRR6743960	SRR6743965	SRR6743966	SRR6743967	SRR6743968	SRR6743971	SRR6743974	SRR6743975	SRR6743977	SRR6743984	SRR6743990	SRR6743993	SRR6743995	SRR6744018	SRR6744021	SRR6744029	SRR6744030	SRR6744032	SRR6744035	SRR6744038	SRR6744047	SRR6744055	SRR6744056	SRR6744057	SRR6744058	SRR6744059	SRR6744060	SRR6744074	SRR6744075	SRR6744086	SRR6744087	SRR6744092	SRR6744094	SRR6744095	SRR6744097	SRR6744099	SRR6744101	SRR6744105	SRR6744107	SRR6744108	SRR6744114	SRR6744116	SRR6744121	SRR6744122	SRR6744125	SRR6744126	SRR6744133	SRR6744134	SRR6744139	SRR6744141	SRR6744142	SRR6744144	SRR6744151	SRR6744152	SRR6744156	SRR6744157	SRR6744164	SRR6744166	SRR6744169	SRR6744170	SRR6744172	SRR6744173	SRR6744176	SRR6744188	SRR6744192	SRR6744196	SRR6744200	SRR6744207	SRR6744208	SRR6744209	SRR6744218	SRR6744219	SRR6744231	SRR6744232	SRR6744238	SRR6744240	SRR6744246	SRR6744248	SRR6744250	SRR6744254	SRR6744257	SRR6744260	SRR6744261	SRR6744262	SRR6744265	SRR6744270	SRR6744279	SRR6744282	SRR6744288	SRR6744291	SRR6744295	SRR6744297	SRR6744303	SRR6744304	SRR6744305	SRR6744308	SRR6744313	SRR6744322	SRR6744326	SRR6744329	SRR6744331	SRR6744335	SRR6744338	SRR6744339	SRR6744342	SRR6744343	SRR6744356	SRR6744360	SRR6744365	SRR6744366	SRR6744367	SRR6744370	SRR6744371	SRR6744376	SRR6744378	SRR6744381	SRR6744391	SRR6744393	SRR6744401	SRR6744403	SRR6744405	SRR6744415	SRR6744421	SRR6744422	SRR6744423	SRR6744429	SRR6744431	SRR6744432	SRR6744434	SRR6744441	SRR6744443	SRR6744444	SRR6744445	SRR6744448	SRR6744454	SRR6744455	SRR6744458	SRR6744460	SRR6744461	SRR6744465	SRR6744470	SRR6744471	SRR6744476	SRR6744477	SRR6744480	SRR6744482	SRR6744485	SRR6744487	SRR6744488	SRR6744497	SRR6744499	SRR6744501	SRR6744507	SRR6744517	SRR6744518	SRR6744519	SRR6744521	SRR6744523	SRR6744535	SRR6744539	SRR6744546	SRR6744547	SRR6744553	SRR6744562	SRR6744563	SRR6744564	SRR6744565	SRR6744567	SRR6744571	SRR6744574	SRR6744576	SRR6744581	SRR6744593	SRR6744599	SRR6744600	SRR6744603	SRR6744606	SRR6744609	SRR6744611	SRR6744613	SRR6744619	SRR6744620	SRR6744623	SRR6744629	SRR6744630	SRR6744632	SRR6744635	SRR6744638	SRR6744639	SRR6744649	SRR6744653	SRR6744658	SRR6744665	SRR6744667	SRR6744673	SRR6744674	SRR6744680	SRR6744684	SRR6744685	SRR6744689	SRR6744695	SRR6744696	SRR6744701	SRR6744702	SRR6744705	SRR6744707	SRR6744710	SRR6744713	SRR6744718	SRR6744723	SRR6744726	SRR6744729	SRR6744735	SRR6744739	SRR6744745	SRR6744747	SRR6744749	SRR6744756	SRR6744758	SRR6744759	SRR6744760	SRR6744766	SRR6744770	SRR6744777	SRR6744778	SRR6744780	SRR6744783	SRR6744790	SRR6744793	SRR6744794	SRR6744796	SRR6744800	SRR6744803	SRR6744804	SRR6744805	SRR6744809	SRR6744815	SRR6744819	SRR6744826	SRR6744829	SRR6744832	SRR6744833	SRR6744842	SRR6744858	SRR6744859	SRR6744860	SRR6744862	SRR6744866	SRR6744875	SRR6744877	SRR6744878	SRR6744883	SRR6744884	SRR6744894	SRR6744896	SRR6744897	SRR6744898	SRR6744901	SRR6744902	SRR6744914	SRR6744916	SRR6744917	SRR6744918	SRR6744925	SRR6744926	SRR6744928	SRR6744930	SRR6744931	SRR6744940	SRR6744941	SRR6744945	SRR6744955	SRR6744962	SRR6744971	SRR6744972	SRR6744973	SRR6744976	SRR6744977	SRR6744980	SRR6744981	SRR6744985	SRR6744991	SRR6744992	SRR6744998	SRR6744999	SRR6745001	SRR6745004
K00001	142	0	0	226	36	8	289	305	1109	379	9	12	27	19	199	280	2	3	164	108	365	892	13	452	83	10	147	4	4	22	37	87	41	11	1064	705	90	0	623	63	1141	1064	103	47	208	11496	157	3	13	33	24	1346	2248	24	49	0	576	823	4	1993	1186	45	3001	8	46	320	77	148	11	116	26	33	2583	0	479	156	4	21	41	88	0	2	9371	37	16	9	28	36	0	260	72	18	2	4	117	14	2	7	9014	6	335	0	0	79	12	178	45	94	19	296	58	294	2431	151	70	531	960	654	3	0	14	252	55	70	31	21	576	0	3445	3	78	545	61	166	63	69	12	1074	5	12	28	98	4	0	201	1184	0	147	3	21	11	78	1522	172	356	0	272	26	150	0	0	12	17516	292	242	2	7	53	14	6	399	411	28	494	94	8440	140	24	1899	9	69	785	184	202	28	93	22	311	2318	269	54	11	229	114	3	21	34	237	108	4	7	45	186	4	239	661	14	41	151	1816	4	52	1251	27	32	657	116	647	3709	27	4627	443	282	700	8	2049	475	453	207	2	14	458	278	463	4979	765	613	4	302	1052	34	2	9	6	96	766	417	803	10	5	511	38	308	8	46	16	530	2	11	2	461	5735	233	38	1395	2	3	2	37	171	198	20	71	5893	0	16	5	823	113	315	61	0	95	1461	63	38	1657	37	142	588	95	34	22	24	22	104	17
K00002	177	554	552	0	64	69	21	0	307	0	110	170	2244	0	0	928	27	89	4	152	2415	9	58	108	751	5	1037	230	2	96	3708	363	18	44	247	0	5465	135	6	365	4	0	2484	9174	9037	41	28	391	61	64	1793	57	39	43	65	35	19	30	0	3	2	579	54	1390	1639	2	1090	2305	47	155	403	286	1209	170	0	158	0	435	0	114	12	0	232	363	5351	26	244	29	71	1298	1895	0	169	38	399	823	164	705	90	453	0	8	29	0	609	151	90	9	41	10	568	91	16	11	4	0	5	291	193	63	77	17	978	106	74	74	204	0	10	103	8	75	506	3576	654	13938	886	6	342	322	305	170	4710	35	8	6	82	4277	94	573	116	18	6	31	6	0	45	180	2	7	64	68	104	38	258	10	122	2346	448	538	7	26	186	0	20154	282	153	3	120	261	44	2	106	340	5183	157	4504	26	3	6	34	3104	2	167	0	410	16	8	78	48	470	59	159	101	10	0	395	5316	20173	65	0	10181	345	346	79	7	12034	0	112	16	92	151	0	71	55	83	11	0	141	9	242	19	0	411	29	16	16	0	106	213	1251	41	163	272	748	61	3	162	0	141	5	1244	19	201	57	413	124	49	496	6	247	1040	262	659	5	10	5	2885	1894	93	58	1033	232	110	192	2342	0	13	10040	126	103	0	7	8	1141	280	13	137	1416	42	852	2556	16	455	990	1056	447
K00003	16	10951	15796	31	42	806	79	297	527	557	19	392	10637	71	634	491	34	58	871	97	17955	753	686	32	274	27	5810	11297	1020	6194	9669	8733	139	2650	149	2129	7908	1176	1800	3304	578	1230	6327	8819	3213	1450	14	10156	21	2419	1642	23	385	172	127	5	1415	26	2	2158	1416	12531	44	14980	10543	1086	18572	10270	3252	122	17218	15381	2671	4442	755	77	9	2925	181	124	0	12	82	7499	4257	7607	6555	9	121	6444	7974	29	2209	19	6648	8332	4341	3821	11	1604	565	116	38	145	10498	1234	63	293	140	298	4824	101	6457	638	228	811	3188	1839	3475	118	600	17	7583	464	1172	59	1005	2	2019	4723	480	78	12676	8787	11173	7701	8780	26	6734	248	2090	3033	9720	7579	694	417	112	17250	2023	4414	7064	480	2948	2	508	2	760	1221	324	353	8233	878	164	75	6785	902	10939	3367	14935	2808	963	67	1464	501	3177	311	525	12	5977	5097	401	1658	575	5946	1930	1445	3456	24	1639	977	448	15599	114	35	24	4206	291	179	278	925	2231	8087	314	2934	455	1603	2610	7249	10515	221	6	8210	925	9684	196	1426	10908	787	62	27	24	3951	721	2489	3	26	13	967	1613	0	19	1550	825	330	40	47	1678	0	222	159	10487	3491	2262	19127	5952	211	289	7002	991	5791	702	8124	807	4821	1109	4797	171	3848	2828	8	5809	14230	96	7240	73	6	27	1619	12081	126	44	1891	123	1474	24	7488	1310	2098	5654	97	32	12	98	1770	18647	6720	1045	5517	7889	4606	2984	9433	28	3476	4267	2136	10155
K00004	0	0	80	0	12	35	0	0	26	12	0	18	0	0	0	0	0	0	0	12	39	0	0	0	59	0	0	0	0	0	0	0	41	0	0	0	0	0	3	0	0	0	2	0	12	0	97	0	64	3	0	0	0	0	0	0	6	0	0	0	10	0	37	5	0	0	0	8	0	0	0	0	52	0	0	121	4	2	0	0	3	50	78	0	7	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	11	0	0	0	0	0	13	4	6	0	0	0	5	0	4	370	0	3	0	0	15	275	0	240	469	0	0	7	88	0	28	36	0	0	142	8	0	0	0	15	0	0	0	0	5	2	2	0	2	3	0	0	2	0	0	8	0	0	0	2	5	15	101	5	0	7	29	0	0	0	57	0	0	93	0	0	54	0	52	9	0	111	0	6	0	0	0	0	0	0	0	17	0	37	0	0	0	6	11	0	13	0	0	0	0	0	0	22	2	28	0	49	23	0	13	0	0	0	0	20	0	0	0	0	0	0	610	0	0	5	0	75	0	166	0	0	0	6	64	0	0	0	11	0	0	0	2	0	0	3	2	4	0	5	0	0	102	0	22	3	3	0	46	0	0	57	9	0	0	4	124	21	0	0	0	2	16	0	0	0	0	0	0	16	7	5	33	0	0	0	37	70	4	0	0
K00005	7	900	1181	2	7	43	11	15	673	12	0	499	888	0	0	480	0	23	0	91	66	5	0	5	34	2	1726	1068	0	453	237	645	31	481	0	20	2535	179	0	612	0	2	420	309	644	154	0	796	15	900	132	0	0	26	5	2	18	0	0	0	0	1840	13	1623	873	7	1554	185	398	15	731	707	39	434	0	0	5	803	0	116	4	11	17	1006	494	283	1020	0	57	341	782	2	446	2	3647	617	939	669	10	543	0	14	0	0	1290	23	80	2	45	6	2242	0	994	10	2	0	0	156	2358	51	66	3	722	11	8	32	65	6	0	1148	0	2	533	726	47	722	447	2	1381	44	436	48	250	1965	0	0	2	1028	645	363	574	0	3	2	8	0	14	622	0	0	55	420	0	8	22	6	338	1218	977	699	0	13	81	4	329	2	20	0	22	306	50	3	583	11	126	101	201	0	37	0	787	510	2	0	4	400	9	10	0	5	834	837	4	396	8	0	321	1089	753	9	0	164	180	1160	49	2	339	23	2	5	7	26	0	27	2	8	0	0	28	0	15	0	0	0	6	21	11	0	0	6	1370	355	569	241	637	4	2	777	0	761	0	1051	0	387	460	1063	33	1024	467	4	183	1484	0	743	81	5	9	449	99	11	3	170	53	297	2	1417	0	0	572	2	8	0	0	3	374	190	30	672	852	152	1939	802	2	1010	1899	259	192
K00006	0	0	0	0	0	15	0	0	398	2	0	79	0	0	6	1352	0	0	0	20	0	0	5	0	491	0	0	0	0	0	0	101	0	0	0	2	7	0	0	0	0	0	7	0	0	0	43	0	76	0	0	0	9	12	0	0	0	0	0	240	18	0	5	0	0	0	0	57	2	0	0	0	56	0	0	377	0	0	0	18	0	0	0	7	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	3	0	0	0	154	0	0	0	0	17	0	0	0	0	0	793	6734	0	833	0	0	0	0	0	0	12	0	19	0	0	0	0	0	99	0	0	2	0	32	16	0	0	0	11	0	0	0	0	0	0	0	4	0	0	61	31	102	0	0	9	0	0	0	0	0	0	483	236	7	0	0	7	11	0	0	1041	0	1460	0	0	0	0	0	0	0	39	0	1003	83	0	0	26	12	0	0	0	0	0	0	2	0	0	0	383	0	17	0	0	0	0	0	1217	0	9	0	0	0	0	4	0	0	6	3	66	7	53	0	118	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	5	2	446	0	0	1732	0	0	0	0	0	276	2	0	0	0	0	3	0	0	0	18	58	0	2	0	0	0	0	0	0	2	0	0	0	0	0	140	9	71	3
K00008	278	8	117	131	321	3	47	2	781	0	447	469	0	0	2	477	149	152	0	439	42	8	120	766	842	0	3	2	0	31	48	0	20	0	101	0	20	0	6	2	31	0	67	10	95	217	33	10	228	11	4	6	69	54	10	58	12	185	0	11	0	72	0	163	2	8	157	514	297	5	26	30	46	6	2	319	6	5	0	33	0	11	28	29	3	12	12	0	127	0	4	0	12	202	925	0	96	64	269	0	2	0	207	6	0	13	234	6	12	0	14	237	0	16	0	0	0	92	0	2	10	0	7	36	61	3	18	0	3	2	11	102	49	15	26	6	1338	16	0	10	5	16	0	37	0	8	235	102	345	111	0	0	2	50	11	4	306	683	0	3	0	147	229	140	206	14	2	199	8	234	4	72	31	0	122	19	30	5	17	17	9	0	477	9	0	74	45	15	16	2	84	4	27	323	0	0	24	32	199	82	45	0	935	14	15	2	0	10	562	8	0	3	40	111	63	2	62	0	19	4	20	299	0	8	0	82	48	3	30	15	1238	2	2	0	140	12	23	5	243	2	26	19	184	54	40	265	0	2	0	107	6	35	0	2	0	144	32	20	16	0	2	1250	577	5	2	96	0	379	23	121	67	24	286	182	594	77	3	2	40	30	762	0	0	0	13	23	10	11	11	23	305	64	121	27	23	380	37
K00009	3	70	454	17	6	13	0	7	2	415	0	28	25	204	117	23	0	2	689	72	150	2375	6	0	0	0	207	210	0	36	101	37	2	23	0	1785	77	8	408	41	2449	2654	34	18	28	1366	5	195	2	0	3	3	1118	34	0	0	37770	94	2	2932	4016	291	5	36	108	517	399	303	36	8	49	16	96	4	1387	0	0	39	159	5	0	0	0	116	8	38	22	10	0	64	72	132	64	5	6	175	15	13	3	32	1045	12	0	25	295	0	16	72	23	1240	18	0	3	175	194	2169	580	405	10	0	140	4	88	45	73	11	3044	2	5353	9	319	2	122	25	25	12	26	11	17	2	0	87	20	4	4864	1166	8	58	13	7	23	136	2423	0	827	0	1812	2	105	11	32	7	10	2	187	38	373	10	11	163	8218	21	2	1166	12	0	0	0	3617	4	81	22509	0	0	76	0	48	0	2315	8054	4	142	64	0	0	69	14	93	0	0	8	154	4	9	1896	196	6	30	183	7	0	139	1028	140	41	960	252	818	0	0	2	87	236	1151	4	22	2	385	1313	0	0	176	674	2138	2	19	15384	16	3	2	412	35	15	63	63	9	278	220	9	336	12817	32	293	293	7	192	6	12	50	2	171	223	0	57	69	3	0	17	332	9	2	21	24	301	0	117	4	828	37	0	13	0	119	3515	811	5	1155	25	2649	278	6	120	2	13	26	27	162
K00010	0	96	0	0	0	0	0	0	0	0	0	0	89	0	0	24	0	0	2	0	9	0	0	0	3	0	82	7	0	2	761	14	3	0	0	0	634	27	0	18	0	0	678	301	923	0	0	9	0	0	108	2	0	51	0	0	3	0	0	0	0	34	4	0	60	0	20	658	0	8	11	9	0	0	0	0	0	14	0	4	0	2	0	2	32	0	41	0	0	2	61	0	0	0	0	29	0	4	2	42	0	3	0	0	10	0	0	0	3	0	0	0	0	0	0	0	0	6	0	0	0	6	8	2	0	0	0	3	0	2	0	0	2	50	86	231	10	0	0	4	3	0	135	3	0	0	0	84	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	45	33	0	0	0	2	0	143	0	0	0	0	11	0	0	0	5	0	17	774	2	2	0	0	1235	0	0	0	29	0	0	0	0	12	6	0	0	0	0	2	65	316	8	0	134	5	27	3	0	779	0	0	0	0	0	0	4	0	0	0	0	37	0	0	0	0	0	0	0	6	0	0	2	24	3	2	0	18	0	0	0	0	0	0	2	0	0	2	0	0	0	16	0	162	20	0	59	0	0	0	165	3	2	0	42	3	0	0	43	0	0	197	0	0	0	0	0	32	27	0	0	21	3	75	350	0	0	5	439	15
K00011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	7	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	2	6	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	2	0	0	13	90	0	0	0	0	0	0	0	0	3	0	7	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	2	0	0	0	0	0	0	0	0	2	64	0	0	0	0	0	0	0	0	0	2	9	0	0	0	0	0	0	0	0	0	0	2	0	0	0	55	0	0	0	0	4	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	58	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	7	3
