ko.id	ko.desc	ko.sym	ko.ec	path.id	path.desc	path.type	b.id	b.desc	a.id	a.desc
K00001	alcohol dehydrogenase	E1.1.1.1, adh	1.1.1.1	map00620	Pyruvate metabolism	KEGG_pathway	9101	Carbohydrate metabolism	9100	Metabolism
K00002	alcohol dehydrogenase (NADP+)	AKR1A1, adh	1.1.1.2	map00620	Pyruvate metabolism	KEGG_pathway	9101	Carbohydrate metabolism	9100	Metabolism
K00003	homoserine dehydrogenase	hom	1.1.1.3	map00260	Glycine, serine and threonine metabolism	KEGG_pathway	9105	Amino acid metabolism	9100	Metabolism
K00004	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase	BDH, butB	1.1.1.4 | 1.1.1.- | 1.1.1.303	map00650	Butanoate metabolism	KEGG_pathway	9101	Carbohydrate metabolism	9100	Metabolism
K00005	glycerol dehydrogenase	gldA	1.1.1.6	map00561	Glycerolipid metabolism	KEGG_pathway	9103	Lipid metabolism	9100	Metabolism
K00006	glycerol-3-phosphate dehydrogenase (NAD+)	GPD1	1.1.1.8	map00564	Glycerophospholipid metabolism	KEGG_pathway	9103	Lipid metabolism	9100	Metabolism
K00007	D-arabinitol 4-dehydrogenase	dalD	1.1.1.11	map00040	Pentose and glucuronate interconversions	KEGG_pathway	9101	Carbohydrate metabolism	9100	Metabolism
K00008	L-iditol 2-dehydrogenase	SORD, gutB	1.1.1.14	map00051	Fructose and mannose metabolism	KEGG_pathway	9101	Carbohydrate metabolism	9100	Metabolism
K00009	mannitol-1-phosphate 5-dehydrogenase	mtlD	1.1.1.17	map00051	Fructose and mannose metabolism	KEGG_pathway	9101	Carbohydrate metabolism	9100	Metabolism
K00010	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase	iolG	1.1.1.18 | 1.1.1.369	map00562	Inositol phosphate metabolism	KEGG_pathway	9101	Carbohydrate metabolism	9100	Metabolism
K00011	aldehyde reductase	AKR1B	1.1.1.21	map00051	Fructose and mannose metabolism	KEGG_pathway	9101	Carbohydrate metabolism	9100	Metabolism
K00012	UDPglucose 6-dehydrogenase	UGDH, ugd	1.1.1.22	map00520	Amino sugar and nucleotide sugar metabolism	KEGG_pathway	9101	Carbohydrate metabolism	9100	Metabolism
K00013	histidinol dehydrogenase	hisD	1.1.1.23	map00340	Histidine metabolism	KEGG_pathway	9105	Amino acid metabolism	9100	Metabolism
K00014	shikimate dehydrogenase	aroE	1.1.1.25	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis	KEGG_pathway	9105	Amino acid metabolism	9100	Metabolism
K00015	glyoxylate reductase	gyaR, GOR1	1.1.1.26	map00630	Glyoxylate and dicarboxylate metabolism	KEGG_pathway	9101	Carbohydrate metabolism	9100	Metabolism
K00016	L-lactate dehydrogenase	LDH, ldh	1.1.1.27	map00620	Pyruvate metabolism	KEGG_pathway	9101	Carbohydrate metabolism	9100	Metabolism
K00018	glycerate dehydrogenase	hprA	1.1.1.29	map00630	Glyoxylate and dicarboxylate metabolism	KEGG_pathway	9101	Carbohydrate metabolism	9100	Metabolism
K00019	3-hydroxybutyrate dehydrogenase	BDH1, bdhA	1.1.1.30	map00650	Butanoate metabolism	KEGG_pathway	9101	Carbohydrate metabolism	9100	Metabolism
K00020	3-hydroxyisobutyrate dehydrogenase	HIBADH, mmsB	1.1.1.31	map00280	Valine, leucine and isoleucine degradation	KEGG_pathway	9105	Amino acid metabolism	9100	Metabolism
K00021	hydroxymethylglutaryl-CoA reductase (NADPH)	HMGCR	1.1.1.34	map04979	Cholesterol metabolism	KEGG_pathway	9154	Digestive system	9150	Organismal Systems
K00022	3-hydroxyacyl-CoA dehydrogenase	HADH	1.1.1.35	map00071	Fatty acid degradation	KEGG_pathway	9103	Lipid metabolism	9100	Metabolism
K00023	acetoacetyl-CoA reductase	phbB	1.1.1.36	map00650	Butanoate metabolism	KEGG_pathway	9101	Carbohydrate metabolism	9100	Metabolism
K00024	malate dehydrogenase	mdh	1.1.1.37	map00020	Citrate cycle (TCA cycle)	KEGG_pathway	9101	Carbohydrate metabolism	9100	Metabolism
K00025	malate dehydrogenase	MDH1	1.1.1.37	map00020	Citrate cycle (TCA cycle)	KEGG_pathway	9101	Carbohydrate metabolism	9100	Metabolism
K00026	malate dehydrogenase	MDH2	1.1.1.37	map00020	Citrate cycle (TCA cycle)	KEGG_pathway	9101	Carbohydrate metabolism	9100	Metabolism
K00027	malate dehydrogenase (oxaloacetate-decarboxylating)	ME2, sfcA, maeA	1.1.1.38	map00020	Citrate cycle (TCA cycle)	KEGG_pathway	9101	Carbohydrate metabolism	9100	Metabolism
K00028	malate dehydrogenase (decarboxylating)	E1.1.1.39	1.1.1.39	map00620	Pyruvate metabolism	KEGG_pathway	9101	Carbohydrate metabolism	9100	Metabolism
K00029	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)	maeB	1.1.1.40	map00620	Pyruvate metabolism	KEGG_pathway	9101	Carbohydrate metabolism	9100	Metabolism
K00030	isocitrate dehydrogenase (NAD+)	IDH3	1.1.1.41	map00020	Citrate cycle (TCA cycle)	KEGG_pathway	9101	Carbohydrate metabolism	9100	Metabolism
K00031	isocitrate dehydrogenase	IDH1, IDH2, icd	1.1.1.42	map00020	Citrate cycle (TCA cycle)	KEGG_pathway	9101	Carbohydrate metabolism	9100	Metabolism
K00032	phosphogluconate 2-dehydrogenase	E1.1.1.43	1.1.1.43	map00030	Pentose phosphate pathway	KEGG_pathway	9101	Carbohydrate metabolism	9100	Metabolism
K00033	6-phosphogluconate dehydrogenase	PGD, gnd, gntZ	1.1.1.44 | 1.1.1.343	map00030	Pentose phosphate pathway	KEGG_pathway	9101	Carbohydrate metabolism	9100	Metabolism
K00034	glucose 1-dehydrogenase	gdh	1.1.1.47	map00030	Pentose phosphate pathway	KEGG_pathway	9101	Carbohydrate metabolism	9100	Metabolism
K00035	D-galactose 1-dehydrogenase	gal	1.1.1.48	map00052	Galactose metabolism	KEGG_pathway	9101	Carbohydrate metabolism	9100	Metabolism
K00036	glucose-6-phosphate 1-dehydrogenase	G6PD, zwf	1.1.1.49 | 1.1.1.363	map00030	Pentose phosphate pathway	KEGG_pathway	9101	Carbohydrate metabolism	9100	Metabolism
K00037	3alpha-hydroxysteroid 3-dehydrogenase / chlordecone reductase	AKR1C4	1.1.1.50 | 1.1.1.357 | 1.1.1.225	map00140	Steroid hormone biosynthesis	KEGG_pathway	9103	Lipid metabolism	9100	Metabolism
K00038	3alpha(or 20beta)-hydroxysteroid dehydrogenase	fabG3	1.1.1.53	map00140	Steroid hormone biosynthesis	KEGG_pathway	9103	Lipid metabolism	9100	Metabolism
K00039	ribitol 2-dehydrogenase	rbtD	1.1.1.56	map00040	Pentose and glucuronate interconversions	KEGG_pathway	9101	Carbohydrate metabolism	9100	Metabolism
K00040	fructuronate reductase	uxuB	1.1.1.57	map00040	Pentose and glucuronate interconversions	KEGG_pathway	9101	Carbohydrate metabolism	9100	Metabolism
K00041	tagaturonate reductase	uxaB	1.1.1.58	map00040	Pentose and glucuronate interconversions	KEGG_pathway	9101	Carbohydrate metabolism	9100	Metabolism
