ak_035166	ak_016465	ak_024143	ak_037037	ak_024401	ak_097125	ak_097366	ak_032645	ak_037693	ak_034033	ak_033463	ak_099390	ak_015445	ak_023546	ak_032440	op_033472	op_038401	op_102311	op_016307	op_023502	op_023870	op_098441	op_107201	op_035169	op_024146	op_024199	op_015958	op_032024	op_103496	op_023549
otu.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	9	0	0	0	0	2	8	0	0	3
otu.11	0	0	0	30	0	0	0	0	12	0	1	1	0	1	6	15	14	1	34	3	10	0	3	3	9	5	0	1	168	7
otu.94	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	3	1	0	0	0	0	0	0	0	0	0	2
otu.119	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	3	1	0	5	0	0	0	0	3	2	0	6	0
otu.128	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	5	0	0	2	0	0	0	0	1	0	0	2	1	0	0
otu.132	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	4	1	0	2	0	0	0	3	0	0	0	0
otu.153	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu.176	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
otu.191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	2	0	0	0	0	0	0	0
otu.225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	3	13	1	0	0	5	20
otu.292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	6	0	0	1	0	0	0	2
otu.330	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	3	1	5	1	0	2	0	0	0	1	0	0	0	0
otu.337	0	3	0	0	10	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu.386	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0
otu.420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	1
otu.447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19	0	4	18	14	159	0	0	0	0	1	5	1	0	0
otu.481	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	4	1	1	0	1	5	5
otu.491	0	0	0	2	1	0	0	0	0	0	0	0	0	0	6	23	0	0	2	1	1	6	0	0	0	0	1	0	5	10
otu.517	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	8	0	3	0	1	0	0	0	0	0	0	0	0	0
otu.547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	14	0	0	6	0	0	0	0	0	0
otu.554	0	1	0	0	2	0	0	1	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu.555	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	2	0	0	0	0	6	3	0	0	0
otu.558	1	0	0	0	2	0	0	0	0	0	1	18	0	0	0	143	0	0	0	43	0	0	0	3	0	0	0	1	63	44
otu.580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	2	0	1	0
otu.602	0	0	0	0	0	2	4	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu.672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	1	2	0	0	1	0	0	0	0
otu.679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	2	4	0	0	0
otu.723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	1	7	0	0	0	0	2	1	0	1	0
otu.731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	2	0	1	0	0	0	3
otu.749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	1	0	0	0	6	0	0	2	0
otu.760	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	1	0	1	4	1	2
otu.771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	2	0	0	0	0	0	0	0	0	0	0	5	0	0
otu.779	0	0	0	0	0	2	5	0	0	0	2	0	0	1	0	8	0	0	0	1	0	0	1	0	1	0	0	0	0	1
otu.802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	1	0	0	1
otu.816	0	0	0	6	0	0	5	0	0	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	2	1
otu.864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	3	0	0	0	0	0	0	3	1	0	0	0
otu.866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1
otu.868	0	0	0	0	8	1	0	3	0	0	1	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
otu.912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	19	2	0	0	2	4	0	0	2	0	0	0	0	0	0
otu.917	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	2	0	0	0	0	1	0	0	0	0
otu.1001	0	0	0	40	0	0	0	0	2	0	0	2	0	1	1	11	1	5	14	42	62	13	0	0	0	22	7	0	273	12
otu.1053	0	3	0	0	3	0	2	2	2	0	4	1	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
