root	phylum	class	order	family	genus
otu.10	Root	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
otu.11	Root	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
otu.94	Root	Firmicutes	Clostridia	Clostridiales	Clostridiales	FamilyXI.IncertaeSedis
otu.119	Root	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
otu.128	Root	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
otu.132	Root	Fusobacteria	Fusobacteria	Fusobacteriales	Fusobacteriaceae	Leptotrichia
otu.153	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus
otu.176	Root	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
otu.191	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
otu.225	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter
otu.292	unk	unk	unk	unk	unk	unk
otu.330	Root	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Selenomonas
otu.337	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
otu.386	Root	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
otu.420	Root	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
otu.447	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
otu.481	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia
otu.491	Root	Firmicutes	Bacilli	Gemellales	Gemellaceae	Gemella
otu.517	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Tannerella
otu.547	Root	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Selenomonas
otu.554	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
otu.555	Root	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unk
otu.558	unk	unk	unk	unk	unk	unk
otu.580	Root	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
otu.602	Root	Firmicutes	Clostridia	Clostridiales	Clostridiales	FamilyXI.IncertaeSedis
otu.672	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
otu.679	Root	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium
otu.723	Root	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
otu.731	Root	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
otu.749	Root	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
otu.760	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia
otu.771	Root	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter
otu.779	Root	Firmicutes	Clostridia	Clostridiales	Clostridiales	FamilyXI.IncertaeSedis
otu.802	Root	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
otu.816	Root	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
otu.864	Root	Fusobacteria	Fusobacteria	Fusobacteriales	Fusobacteriaceae	Leptotrichia
otu.866	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia
otu.868	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
otu.912	Root	Fusobacteria	Fusobacteria	Fusobacteriales	Fusobacteriaceae	Leptotrichia
otu.917	Root	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
otu.1001	Root	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces
otu.1053	Root	Firmicutes	Bacilli	Gemellales	Gemellaceae	Gemella
otu.1057	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
otu.1093	Root	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella
otu.1156	Root	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella
otu.1207	Root	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Capnocytophaga
otu.1215	Root	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
otu.1223	Root	Fusobacteria	Fusobacteria	Fusobacteriales	Fusobacteriaceae	Leptotrichia
otu.1286	Root	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Granulicatella
otu.1312	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia
otu.1342	unk	unk	unk	unk	unk	unk
otu.1367	Root	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Selenomonas
otu.1383	Root	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
otu.1388	Root	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unk
otu.1424	unk	unk	unk	unk	unk	unk
otu.1454	Root	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia
otu.1530	Root	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter
otu.1613	Root	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria
