feature	CTRL_SNG-101_CD14 Mono	CTRL_SNG-101_CD4 Naive T	CTRL_SNG-101_CD4 Memory T	CTRL_SNG-101_CD16 Mono	CTRL_SNG-101_B	CTRL_SNG-101_CD8 T	CTRL_SNG-101_T activated	CTRL_SNG-101_NK	CTRL_SNG-101_DC	CTRL_SNG-101_B Activated	CTRL_SNG-101_Mk	CTRL_SNG-101_pDC	CTRL_SNG-101_Eryth	CTRL_SNG-1015_CD14 Mono	CTRL_SNG-1015_CD4 Naive T	CTRL_SNG-1015_CD4 Memory T	CTRL_SNG-1015_CD16 Mono	CTRL_SNG-1015_B	CTRL_SNG-1015_CD8 T	CTRL_SNG-1015_T activated	CTRL_SNG-1015_NK	CTRL_SNG-1015_DC	CTRL_SNG-1015_B Activated	CTRL_SNG-1015_Mk	CTRL_SNG-1015_pDC	CTRL_SNG-1015_Eryth	CTRL_SNG-1016_CD14 Mono	CTRL_SNG-1016_CD4 Naive T	CTRL_SNG-1016_CD4 Memory T	CTRL_SNG-1016_CD16 Mono	CTRL_SNG-1016_B	CTRL_SNG-1016_CD8 T	CTRL_SNG-1016_T activated	CTRL_SNG-1016_NK	CTRL_SNG-1016_DC	CTRL_SNG-1016_B Activated	CTRL_SNG-1016_Mk	CTRL_SNG-1016_pDC	CTRL_SNG-1016_Eryth	CTRL_SNG-1039_CD14 Mono	CTRL_SNG-1039_CD4 Naive T	CTRL_SNG-1039_CD4 Memory T	CTRL_SNG-1039_CD16 Mono	CTRL_SNG-1039_B	CTRL_SNG-1039_CD8 T	CTRL_SNG-1039_T activated	CTRL_SNG-1039_NK	CTRL_SNG-1039_DC	CTRL_SNG-1039_B Activated	CTRL_SNG-1039_Mk	CTRL_SNG-1039_pDC	CTRL_SNG-107_CD14 Mono	CTRL_SNG-107_CD4 Naive T	CTRL_SNG-107_CD4 Memory T	CTRL_SNG-107_CD16 Mono	CTRL_SNG-107_B	CTRL_SNG-107_CD8 T	CTRL_SNG-107_T activated	CTRL_SNG-107_NK	CTRL_SNG-107_DC	CTRL_SNG-107_B Activated	CTRL_SNG-107_Mk	CTRL_SNG-107_pDC	CTRL_SNG-107_Eryth	CTRL_SNG-1244_CD14 Mono	CTRL_SNG-1244_CD4 Naive T	CTRL_SNG-1244_CD4 Memory T	CTRL_SNG-1244_CD16 Mono	CTRL_SNG-1244_B	CTRL_SNG-1244_CD8 T	CTRL_SNG-1244_T activated	CTRL_SNG-1244_NK	CTRL_SNG-1244_DC	CTRL_SNG-1244_B Activated	CTRL_SNG-1244_Mk	CTRL_SNG-1244_pDC	CTRL_SNG-1244_Eryth	CTRL_SNG-1256_CD14 Mono	CTRL_SNG-1256_CD4 Naive T	CTRL_SNG-1256_CD4 Memory T	CTRL_SNG-1256_CD16 Mono	CTRL_SNG-1256_B	CTRL_SNG-1256_CD8 T	CTRL_SNG-1256_T activated	CTRL_SNG-1256_NK	CTRL_SNG-1256_DC	CTRL_SNG-1256_B Activated	CTRL_SNG-1256_Mk	CTRL_SNG-1256_pDC	CTRL_SNG-1256_Eryth	CTRL_SNG-1488_CD14 Mono	CTRL_SNG-1488_CD4 Naive T	CTRL_SNG-1488_CD4 Memory T	CTRL_SNG-1488_CD16 Mono	CTRL_SNG-1488_B	CTRL_SNG-1488_CD8 T	CTRL_SNG-1488_T activated	CTRL_SNG-1488_NK	CTRL_SNG-1488_DC	CTRL_SNG-1488_B Activated	CTRL_SNG-1488_Mk	CTRL_SNG-1488_pDC	CTRL_SNG-1488_Eryth	STIM_SNG-101_CD14 Mono	STIM_SNG-101_CD4 Naive T	STIM_SNG-101_CD4 Memory T	STIM_SNG-101_CD16 Mono	STIM_SNG-101_B	STIM_SNG-101_CD8 T	STIM_SNG-101_T activated	STIM_SNG-101_NK	STIM_SNG-101_DC	STIM_SNG-101_B Activated	STIM_SNG-101_Mk	STIM_SNG-101_pDC	STIM_SNG-101_Eryth	STIM_SNG-1015_CD14 Mono	STIM_SNG-1015_CD4 Naive T	STIM_SNG-1015_CD4 Memory T	STIM_SNG-1015_CD16 Mono	STIM_SNG-1015_B	STIM_SNG-1015_CD8 T	STIM_SNG-1015_T activated	STIM_SNG-1015_NK	STIM_SNG-1015_DC	STIM_SNG-1015_B Activated	STIM_SNG-1015_Mk	STIM_SNG-1015_pDC	STIM_SNG-1015_Eryth	STIM_SNG-1016_CD14 Mono	STIM_SNG-1016_CD4 Naive T	STIM_SNG-1016_CD4 Memory T	STIM_SNG-1016_CD16 Mono	STIM_SNG-1016_B	STIM_SNG-1016_CD8 T	STIM_SNG-1016_T activated	STIM_SNG-1016_NK	STIM_SNG-1016_DC	STIM_SNG-1016_B Activated	STIM_SNG-1016_Mk	STIM_SNG-1016_pDC	STIM_SNG-1016_Eryth	STIM_SNG-1039_CD14 Mono	STIM_SNG-1039_CD4 Naive T	STIM_SNG-1039_CD4 Memory T	STIM_SNG-1039_CD16 Mono	STIM_SNG-1039_B	STIM_SNG-1039_CD8 T	STIM_SNG-1039_T activated	STIM_SNG-1039_NK	STIM_SNG-1039_DC	STIM_SNG-1039_B Activated	STIM_SNG-1039_Mk	STIM_SNG-1039_pDC	STIM_SNG-1039_Eryth	STIM_SNG-107_CD14 Mono	STIM_SNG-107_CD4 Naive T	STIM_SNG-107_CD4 Memory T	STIM_SNG-107_CD16 Mono	STIM_SNG-107_B	STIM_SNG-107_CD8 T	STIM_SNG-107_T activated	STIM_SNG-107_NK	STIM_SNG-107_DC	STIM_SNG-107_B Activated	STIM_SNG-107_Mk	STIM_SNG-107_pDC	STIM_SNG-1244_CD14 Mono	STIM_SNG-1244_CD4 Naive T	STIM_SNG-1244_CD4 Memory T	STIM_SNG-1244_CD16 Mono	STIM_SNG-1244_B	STIM_SNG-1244_CD8 T	STIM_SNG-1244_T activated	STIM_SNG-1244_NK	STIM_SNG-1244_DC	STIM_SNG-1244_B Activated	STIM_SNG-1244_Mk	STIM_SNG-1244_pDC	STIM_SNG-1244_Eryth	STIM_SNG-1256_CD14 Mono	STIM_SNG-1256_CD4 Naive T	STIM_SNG-1256_CD4 Memory T	STIM_SNG-1256_CD16 Mono	STIM_SNG-1256_B	STIM_SNG-1256_CD8 T	STIM_SNG-1256_T activated	STIM_SNG-1256_NK	STIM_SNG-1256_DC	STIM_SNG-1256_B Activated	STIM_SNG-1256_Mk	STIM_SNG-1256_pDC	STIM_SNG-1256_Eryth	STIM_SNG-1488_CD14 Mono	STIM_SNG-1488_CD4 Naive T	STIM_SNG-1488_CD4 Memory T	STIM_SNG-1488_CD16 Mono	STIM_SNG-1488_B	STIM_SNG-1488_CD8 T	STIM_SNG-1488_T activated	STIM_SNG-1488_NK	STIM_SNG-1488_DC	STIM_SNG-1488_B Activated	STIM_SNG-1488_Mk	STIM_SNG-1488_pDC	STIM_SNG-1488_Eryth
AL627309.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-206L10.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00115	0	0	0	0	0	0	1	0	1	0	0	0	1	3	0	0	4	0	1	0	1	0	0	1	1	0	1	1	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	2	4	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	4	0	0	0	0	1	0	1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	1	0	1	1	0	0	2	0	0	0	0	0	0
NOC2L	8	3	5	3	1	3	1	2	2	4	1	0	0	25	7	16	16	11	8	7	5	14	25	2	0	1	5	6	5	6	3	8	9	0	1	4	1	0	0	3	4	7	3	1	2	1	0	0	0	1	1	8	3	4	3	3	0	0	1	1	2	0	1	0	6	27	13	5	5	8	4	2	8	7	2	2	0	14	35	9	3	7	1	12	3	4	10	2	1	0	13	23	12	6	7	0	5	2	5	14	1	1	0	7	4	6	4	6	2	3	2	3	5	1	0	0	11	6	8	3	14	7	5	7	2	13	1	0	0	4	9	4	4	2	8	11	0	0	2	1	2	0	2	15	4	1	3	1	4	0	0	1	2	1	0	0	3	8	2	6	2	2	1	1	3	1	0	3	45	6	2	7	5	5	2	0	6	2	1	0	6	46	12	1	7	3	5	7	2	4	1	4	0	3	50	7	1	5	1	4	0	2	13	3	3	0
KLHL17	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PLEKHN1	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	4	0	1	2	0	1	0	2	1	0	0	0	0	16	0	4	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	2	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	5	1	0	1	1	0	0	0	1	0	0	0	0
HES4	0	0	0	2	0	2	8	1	0	0	0	0	0	10	1	4	13	1	2	12	1	0	8	0	0	0	5	1	1	5	0	0	2	1	1	1	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	3	1	0	3	0	2	0	3	0	2	4	1	2	1	5	0	1	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	134	2	2	84	4	3	9	1	50	2	1	5	0	684	4	18	230	12	4	15	13	52	10	0	0	17	224	1	11	110	3	2	11	1	49	2	1	4	0	159	1	3	39	0	0	1	0	5	2	2	3	0	225	0	0	27	0	1	6	4	52	4	0	0	264	6	4	33	0	4	4	3	179	11	4	1	0	494	5	4	155	6	4	20	1	101	8	4	0	0	318	7	5	105	2	1	11	7	105	6	5	0	0
ISG15	66	4	7	46	6	11	4	4	14	1	0	0	0	857	29	167	463	62	32	57	52	29	19	36	18	4	878	14	14	252	22	59	24	7	61	2	8	4	1	129	46	22	53	9	4	30	3	5	5	5	1	44	1	17	8	4	2	2	4	8	2	0	1	0	130	38	39	32	11	15	20	22	78	6	2	2	0	399	84	46	150	38	36	69	37	54	4	9	2	4	62	29	23	49	8	17	12	43	57	14	3	0	0	22760	397	1036	7128	758	408	445	344	3617	159	215	277	4	77986	908	2091	18102	2375	1374	780	1625	4484	718	637	164	873	25742	431	639	5989	493	1218	494	283	2181	107	112	188	100	16602	660	769	2774	477	267	369	158	775	46	255	379	27	21474	151	423	1642	273	71	277	173	2206	234	37	10	32126	2808	1063	1767	440	303	379	585	5972	160	294	191	26	41168	2966	1121	6654	1143	661	624	666	4020	396	281	408	279	30038	3351	1912	6649	1646	513	794	710	5324	633	489	622	44
AGRN	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	5	1	1	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	1	2	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	1	0
C1orf159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	2	2	0	1	0	2	0	0	0	0	1	0
