cell	group	reads
R2	CytotoxicT	1619
R5	CytotoxicT	1975
R12	CytotoxicT	1900
R15	CytotoxicT	1817
R16	CytotoxicT	2878
R19	CytotoxicT	2355
R30	CytotoxicT	2289
R32	CytotoxicT	1720
R37	CytotoxicT	1818
R39	CytotoxicT	1717
R40	CytotoxicT	1687
R43	CytotoxicT	2058
R48	CytotoxicT	2228
R49	CytotoxicT	1908
R56	CytotoxicT	1868
R60	CytotoxicT	1887
R64	CytotoxicT	1977
R65	CytotoxicT	1688
R67	CytotoxicT	2096
R70	CytotoxicT	1762
R71	CytotoxicT	1802
R84	CytotoxicT	1688
R85	CytotoxicT	1763
R86	CytotoxicT	1777
R87	CytotoxicT	1832
R90	CytotoxicT	1780
R91	CytotoxicT	1740
R99	CytotoxicT	2919
R116	CytotoxicT	1823
R119	CytotoxicT	1838
R122	CytotoxicT	1944
R129	CytotoxicT	1884
R133	CytotoxicT	1943
R136	CytotoxicT	1810
R139	CytotoxicT	2890
R149	CytotoxicT	1836
R152	CytotoxicT	1746
R157	CytotoxicT	1694
R158	CytotoxicT	1850
R165	CytotoxicT	1791
R167	CytotoxicT	1985
R171	CytotoxicT	1777
R174	CytotoxicT	2559
R175	CytotoxicT	3278
R176	CytotoxicT	1861
R177	CytotoxicT	1739
R183	CytotoxicT	2558
R187	CytotoxicT	1811
R188	CytotoxicT	1804
R189	CytotoxicT	1714
R193	CytotoxicT	1959
R194	CytotoxicT	1866
R200	CytotoxicT	1866
R206	CytotoxicT	1803
R211	CytotoxicT	1938
R213	CytotoxicT	1843
R214	CytotoxicT	1858
R220	CytotoxicT	1908
R222	CytotoxicT	1723
R224	CytotoxicT	1793
R226	CytotoxicT	1619
R227	CytotoxicT	1827
R237	CytotoxicT	2483
R238	CytotoxicT	1734
R239	CytotoxicT	1752
R265	CytotoxicT	2718
R267	CytotoxicT	2020
R271	CytotoxicT	1732
R277	CytotoxicT	1684
R278	CytotoxicT	1791
R285	CytotoxicT	1749
R286	CytotoxicT	1773
R289	CytotoxicT	2571
R291	CytotoxicT	2088
R292	CytotoxicT	1861
R297	CytotoxicT	1814
R301	CytotoxicT	2115
R302	CytotoxicT	1706
R305	CytotoxicT	1890
R309	CytotoxicT	1821
R310	CytotoxicT	2462
R316	CytotoxicT	1882
R317	CytotoxicT	1966
R319	CytotoxicT	1834
R320	CytotoxicT	2370
R325	CytotoxicT	1797
R335	CytotoxicT	1877
R340	CytotoxicT	1945
R344	CytotoxicT	1975
R350	CytotoxicT	1994
R354	CytotoxicT	2105
R366	CytotoxicT	1755
R370	CytotoxicT	1833
R372	CytotoxicT	2308
R383	CytotoxicT	1722
R384	CytotoxicT	2409
R385	CytotoxicT	1702
R387	CytotoxicT	1743
R389	CytotoxicT	2058
R400	CytotoxicT	2733
R402	CytotoxicT	1789
R406	CytotoxicT	2095
R407	CytotoxicT	2170
R411	CytotoxicT	1764
R413	CytotoxicT	1831
R414	CytotoxicT	1790
R423	CytotoxicT	1827
R428	CytotoxicT	1909
R433	CytotoxicT	1764
R444	CytotoxicT	2489
R448	CytotoxicT	2674
R452	CytotoxicT	1905
R460	CytotoxicT	1731
R468	CytotoxicT	1832
R473	CytotoxicT	1699
R476	CytotoxicT	1737
R478	CytotoxicT	1711
R479	CytotoxicT	3028
R482	CytotoxicT	2199
R492	CytotoxicT	1907
R496	CytotoxicT	3224
R497	CytotoxicT	1742
R501	CytotoxicT	2499
R502	CytotoxicT	2932
R503	CytotoxicT	1663
R506	CytotoxicT	2015
R515	CytotoxicT	1747
R516	CytotoxicT	2325
R520	CytotoxicT	1931
R538	CytotoxicT	2707
R543	CytotoxicT	2987
R556	CytotoxicT	2144
R559	CytotoxicT	2041
R561	CytotoxicT	2032
R566	CytotoxicT	1771
R571	CytotoxicT	2744
R572	CytotoxicT	1807
R575	CytotoxicT	2143
R580	CytotoxicT	1707
R585	CytotoxicT	1821
R590	CytotoxicT	1747
R592	CytotoxicT	2768
R593	CytotoxicT	1684
R594	CytotoxicT	1997
R595	CytotoxicT	1878
R602	CytotoxicT	1990
R603	CytotoxicT	2205
R617	CytotoxicT	1786
R620	CytotoxicT	1820
R621	CytotoxicT	2109
R622	CytotoxicT	1802
R625	CytotoxicT	1803
R633	CytotoxicT	1845
R638	CytotoxicT	1939
R641	CytotoxicT	1760
R645	CytotoxicT	2385
R646	CytotoxicT	1765
R653	CytotoxicT	1645
R662	CytotoxicT	2159
R665	CytotoxicT	2649
R667	CytotoxicT	1845
R672	CytotoxicT	2853
R676	CytotoxicT	2188
R677	CytotoxicT	1810
R681	CytotoxicT	2175
R685	CytotoxicT	1924
R689	CytotoxicT	2553
R692	CytotoxicT	2208
R696	CytotoxicT	1723
R697	CytotoxicT	3159
R701	CytotoxicT	1710
R703	CytotoxicT	1843
R712	CytotoxicT	1941
R716	CytotoxicT	1862
R717	CytotoxicT	1845
R718	CytotoxicT	2089
R722	CytotoxicT	1804
R723	CytotoxicT	1843
R724	CytotoxicT	3266
R726	CytotoxicT	1748
R730	CytotoxicT	2218
R732	CytotoxicT	1851
R733	CytotoxicT	1828
R735	CytotoxicT	2021
R736	CytotoxicT	1855
R738	CytotoxicT	1846
R740	CytotoxicT	1926
R741	CytotoxicT	2091
R744	CytotoxicT	3131
R745	CytotoxicT	1700
R751	CytotoxicT	1974
R754	CytotoxicT	1853
R760	CytotoxicT	1790
R767	CytotoxicT	1831
R775	CytotoxicT	1833
R777	CytotoxicT	1804
R778	CytotoxicT	1822
R792	CytotoxicT	1922
R798	CytotoxicT	1730
R802	CytotoxicT	1815
R804	CytotoxicT	2488
R810	CytotoxicT	1818
R811	CytotoxicT	1850
R815	CytotoxicT	2376
R817	CytotoxicT	1776
R821	CytotoxicT	1934
R823	CytotoxicT	1681
R825	CytotoxicT	1667
R830	CytotoxicT	1775
R837	CytotoxicT	2110
R838	CytotoxicT	1965
R847	CytotoxicT	2301
R853	CytotoxicT	2584
R858	CytotoxicT	1763
R861	CytotoxicT	1970
R864	CytotoxicT	2021
R867	CytotoxicT	1784
R868	CytotoxicT	1750
R871	CytotoxicT	3247
R881	CytotoxicT	1709
R883	CytotoxicT	1689
R888	CytotoxicT	1844
R890	CytotoxicT	1689
R895	CytotoxicT	2106
R897	CytotoxicT	2299
R898	CytotoxicT	1909
R901	CytotoxicT	1778
R906	CytotoxicT	3023
R911	CytotoxicT	1753
R916	CytotoxicT	1816
R920	CytotoxicT	1836
R921	CytotoxicT	1768
R925	CytotoxicT	2833
R926	CytotoxicT	1874
R932	CytotoxicT	2365
R943	CytotoxicT	2537
R944	CytotoxicT	1884
R951	CytotoxicT	2134
R953	CytotoxicT	1853
R954	CytotoxicT	1959
R957	CytotoxicT	1695
R961	CytotoxicT	1711
R963	CytotoxicT	3130
R974	CytotoxicT	1885
R979	CytotoxicT	1963
R990	CytotoxicT	1713
R991	CytotoxicT	1759
R994	CytotoxicT	2311
R995	CytotoxicT	1912
R998	CytotoxicT	1845
R1003	CytotoxicT	1912
R1008	CytotoxicT	2054
R1016	CytotoxicT	2715
R1033	CytotoxicT	1784
R1034	CytotoxicT	2130
R1040	CytotoxicT	2934
R1041	CytotoxicT	2067
R1043	CytotoxicT	2562
R1049	CytotoxicT	1769
R1054	CytotoxicT	2688
R1057	CytotoxicT	1903
R1062	CytotoxicT	1837
R1074	CytotoxicT	1848
R1079	CytotoxicT	1914
R1086	CytotoxicT	2061
R1088	CytotoxicT	2939
R1095	CytotoxicT	1765
R1100	CytotoxicT	1704
R1105	CytotoxicT	1858
R1118	CytotoxicT	2354
R1121	CytotoxicT	1835
R1123	CytotoxicT	1889
R1124	CytotoxicT	1967
R1127	CytotoxicT	2357
R1139	CytotoxicT	3211
R1140	CytotoxicT	2744
R1147	CytotoxicT	1824
R1149	CytotoxicT	1775
R1153	CytotoxicT	2148
R1157	CytotoxicT	2239
R1158	CytotoxicT	1891
R1165	CytotoxicT	2020
R1171	CytotoxicT	1712
R1173	CytotoxicT	1851
R1174	CytotoxicT	1857
R1179	CytotoxicT	2160
R1181	CytotoxicT	2867
R1184	CytotoxicT	3065
R1185	CytotoxicT	1781
R1186	CytotoxicT	2094
R1191	CytotoxicT	2246
R1192	CytotoxicT	1925
R1193	CytotoxicT	2785
R1194	CytotoxicT	1789
R1197	CytotoxicT	1772
R1198	CytotoxicT	2266
R1202	CytotoxicT	1945
R1206	CytotoxicT	1684
R1207	CytotoxicT	2333
R1212	CytotoxicT	1774
R1215	CytotoxicT	1730
R1222	CytotoxicT	2028
R1227	CytotoxicT	2504
R1234	CytotoxicT	2770
R1240	CytotoxicT	1670
R1245	CytotoxicT	1858
R1249	CytotoxicT	2095
R1250	CytotoxicT	1749
R1255	CytotoxicT	1963
R1260	CytotoxicT	2485
R1264	CytotoxicT	1964
R1266	CytotoxicT	2198
R1272	CytotoxicT	1736
R1273	CytotoxicT	1807
R1274	CytotoxicT	2142
R1275	CytotoxicT	2616
R1276	CytotoxicT	1817
R1289	CytotoxicT	1860
R1290	CytotoxicT	2162
R1305	CytotoxicT	2278
R1311	CytotoxicT	1789
