sampleid	comparison
DT2015s001	seawater
DT2015s002	seawater
DT2015s003	seawater
DT2015s004	seawater
DT2015s005	seawater
DT2015s006	seawater
DT2015s007	seawater
DT2015s008	seawater
DT2015s009	seawater
DT2015s010	seawater
DT2015s011	seawater
DT2015s012	seawater
DT2015s013	sediment
DT2015s014	sediment
DT2015s015	sediment
DT2015s016	sediment
DT2015s017	sediment
DT2015s018	sediment
DT2015s019	sediment
DT2015s020	sediment
DT2015s021	sediment
DT2015s022	sediment
DT2015s023	sediment
DT2015s024	sediment
DT2015s025	sediment
DT2015s026	sediment
DT2015s027	sediment
DT2015s028	sediment
DT2015s029	sediment
DT2015s030	sediment
DT2015s031	seawater
DT2015s032	seawater
DT2015s033	seawater
DT2015s034	seawater
DT2015s035	seawater
DT2015s036	seawater
DT2015s037	seawater
DT2015s038	seawater
DT2015s039	seawater
DT2015s040	seawater
DT2015s041	seawater
DT2015s042	seawater
DT2015s043	seawater
DT2015s044	seawater
DT2015s045	seawater
DT2015s046	seawater
DT2015s047	seawater
DT2015s048	seawater
DT2015s049	seawater
DT2015s050	seawater
DT2015s051	seawater
DT2015s052	seawater
DT2015s053	seawater
DT2015s054	seawater
DT2015s058	seawater
DT2015s059	seawater
DT2015s060	seawater
DT2015s061	seawater
DT2015s062	seawater
DT2015s063	seawater
DT2015s064	seawater
DT2015s065	seawater
DT2015s066	seawater
DT2015s071	seawater
DT2015s072	seawater
DT2015s073	seawater
DT2015s074	seawater
DT2015s075	seawater
DT2015s076	seawater
DT2015s077	seawater
DT2015s078	seawater
DT2015s079	seawater
DT2015s080	seawater
DT2015s081	seawater
DT2015s082	seawater
DT2015s083	seawater
DT2015s084	seawater
DT2015s085	seawater
