otu	DYEY1	DYEY10	DYEY2	DYEY3	DYEY4	DYEY5	DYEY6	DYEY7	DYEY8	DYEY9	TET1	TET10	TET100	TET103	TET104	TET105	TET106	TET107	TET108	TET109	TET110	TET112	TET113	TET114	TET115	TET117	TET118	TET119	TET120	TET121	TET14	TET15	TET16	TET18	TET19	TET2	TET20	TET24	TET26	TET28	TET29	TET31	TET33	TET34	TET35	TET36	TET37	TET38	TET39	TET4	TET40	TET41	TET42	TET43	TET44	TET45	TET46	TET47	TET48	TET5	TET51	TET52	TET53	TET54	TET56	TET57	TET58	TET6	TET60	TET61	TET62	TET63	TET65	TET67	TET68	TET7	TET70	TET71	TET72	TET75	TET76	TET77	TET78	TET79	TET8	TET80	TET81	TET82	TET84	TET85	TET86	TET87	TET88	TET89	TET9	TET90	TET92	TET93	TET94	TET95	TET96	TET97	TET98	TL100	TL30	TL107	TL106	TL80	TL76	TL65	TL7	TL96	TL86	TL103	TL95	TL111	TL61	TL94	TL62	TL63	TL37	TL116	TL31	TL118	TL13	TL121	TL57	TL87	TL64	TL2	TL108	TL73	TL55	TL109	TL77	TL38	TL12	TL67	TL10	TL3	TL14	TL97	TL123	TL6	100a	TL120	TL54	TL117	TL44	TL71	TL20	TL1	TL124	TL78	TL105	TL81	TL91	TL66	TL92	TL88	TL60	TL69	TL93	TL113	TL59	TL115	TL85	TL4	TL39	TL16	TL114	TL129	TL102	TL110	TL84	TL112	TL74	TL70	TL99	TL82	TL18	TL23	TL83	100b	TL90	TL27	TL5	TL58	TL119
OTU_1	291	22	46	435	1443	14	75	51	740	5576	134	1140	59	6319	5007	58	3190	683	725	314	240	1417	479	446	774	117	507	150	169	248	212	47	61	199	305	340	242	77	404	1524	1074	51	358	495	28	1517	57	1343	69	190	195	451	19	163	230	1074	28	118	119	1143	212	473	745	171	392	128	965	243	209	337	403	14226	98	722	306	128	1786	1722	335	419	6519	499	3764	871	70	3591	1916	335	8235	519	180	426	1835	433	655	526	214	5310	1119	69	1291	628	173	4529	29	392	8535	2044	930	11	72	307	81	739	133	522	44	1322	5484	25	140	80	119	179	2448	2350	255	315	1086	669	138	4252	158	948	545	479	1985	29	959	37780	4532	26990	311	375	401	3278	414	121	43	6784	61	406	457	123	327	232	441	640	426	3217	21	321	8719	1340	282	1891	36	524	3563	407	376	239	1967	623	3619	690	5	98	613	348	5467	402	3011	603	1490	13095	18984	2937	526
OTU_2	7265	1320	14112	16715	1907	23585	1995	5421	2171	3806	413	10170	141	1280	1028	403	602	653	8303	708	4118	138	8035	2818	3844	1631	1800	112	1504	452	1111	1507	11967	2670	967	646	2507	1599	1717	3270	17540	1868	13422	393	6675	8875	711	3276	599	6835	1296	313	4377	1562	639	4550	12052	12629	1464	335	94	752	707	390	853	8485	924	2634	1250	4317	1921	991	188	676	120	1092	4223	1131	85	340	147	255	4107	675	2693	394	61	10152	10165	2254	1394	3833	2206	351	4937	1031	1517	106	1039	3329	965	369	1139	1875	1872	10915	891	116	2353	93	2041	558	14233	12726	12972	5411	571	5019	2421	776	12590	630	572	431	2902	860	681	1231	9848	6200	5580	4061	191	7110	670	2330	2548	9911	472	892	1082	1392	2022	1396	7704	5982	11914	1401	92	793	561	25127	2297	13607	391	6698	3370	1607	1761	4299	834	394	8566	15147	13370	932	1321	11505	19019	1074	2911	1716	1084	6578	137	4513	99	4281	6782	6490	5861	703	3540	12114	2150	11452	454	6886	381
OTU_3	2138	10	78	31	8	3	2322	8	3607	8	22	128	16	108	488	129	23	32	7	118	51	84	85	5981	131	5	43	17	16	70	1317	43	11	220	9	317	52	17845	8	57	36	73	3994	35	12	4	4085	6174	53	36	9	96	11	6	11	128	21	92	566	46	13	50	22	29	58	211	1063	99	16	79	4462	40	1025	25	4	53	4	3	38	17	4	862	17	3	84	27	27	78	46	50	99	5	29	5	34	238	1	1125	1487	1980	5076	6	8	6431	42720	57	110	793	38	183	8212	526	6202	77	9632	20504	31985	10776	1384	3791	174	14376	33491	27882	12317	10845	9782	1317	8100	141	26776	408	1585	520	2425	48	363	12055	2167	29	684	437	1640	4296	436	1025	3143	21538	14699	8532	3925	3791	58	118	34138	411	12398	6481	333	29	15468	4445	3217	418	4380	504	21624	118	247	1709	2908	27799	647	5865	1898	914	33515	29820	485	98	15213	50	4475	1675	1481	3880	46	9009	67
OTU_4	9458	527	8248	14606	8656	2255	3750	6672	3342	972	6557	2798	3755	1656	371	2660	2394	603	1157	1210	719	1136	1027	1673	1696	1109	1136	256	899	3524	10261	23240	1536	2589	2521	2808	2536	899	894	7641	1488	8047	4854	1060	2541	3598	1226	1739	8258	1807	2924	964	5712	1140	635	1249	1366	1745	583	3256	1662	1954	3468	1926	10729	2193	6884	5557	1575	1448	945	809	1450	4898	707	2421	1342	334	1372	619	73	3094	1633	136	3709	3287	1822	5326	1196	4294	5105	1655	1973	2408	7223	884	1159	502	1871	966	1843	3184	2270	756	14	118	128	2519	4753	223	483	1108	131	224	329	1354	174	380	181	178	744	119	72	63	692	1610	246	2100	104	544	172	236	38	431	908	58	737	233	2571	837	1169	3375	1154	2669	558	573	287	242	27	225	519	580	301	388	18	2030	840	869	1944	8899	228	502	79	287	310	75	54	1137	244	2517	691	338	257	1782	1704	166	109	92	355	88	547	54	1361	263	1077	222	439	319	7705
OTU_5	2	54	3	36	690	75	817	55	746	177	59	833	5	53	25	47	439	48	160	240	15	28	201	7	36	11	286	18	36	72	154	26	9	228	28	74	360	61	118	4	3	19	110	10	12	59	73	526	30	184	9	30	7	107	76	145	4	51	11	35	173	174	357	47	18	39	38	43	75	18	108	321	8	40	48	19	3024	58	143	79	2160	14	81	41	24	174	240	11	220	209	97	475	17	3	284	32	39	86	349	13	51	77	29	3712	349	780	21035	4759	76	4	305	18138	943	2072	12	3039	218	1709	7420	39	488	376	634	1140	767	1504	131	185	111	25	3367	19867	855	262	3948	430	504	4183	19321	3209	453	272	59	83	6	172	204	5387	38	7010	163	248	31	94	9	455	1203	819	591	138	42	38444	393	640	276	74	30	5151	95	138	443	185	544	69	10314	54	472	24	17	895	25628	44	2071	5	1295	714	1213	93	4630
OTU_6	154	41	1980	1548	2562	188	4542	5453	3375	1240	1559	2963	1498	1137	141	760	277	5898	104	4499	266	8762	547	947	216	453	229	1893	266	1116	4859	194	93	3370	1941	2442	922	217	2664	916	258	2237	1636	1421	1548	1623	172	2455	1462	203	346	837	3820	232	581	81	13	239	213	5452	658	5450	610	1891	1797	74	255	19591	1175	524	1065	1541	1066	10322	1027	862	618	17	100	1294	8949	1676	3812	41	2064	1054	98	428	2049	531	480	783	1727	404	69	1344	96	238	2093	117	2221	332	285	400	72	83	21	7248	2110	4	740	555	85	81	1060	1374	141	507	304	148	167	488	546	264	188	91	129	5461	4206	246	168	10494	37	4105	3778	148	145	686	3478	251	137	3954	63	1970	74	581	312	157	17	545	1655	250	744	1128	36	1582	673	607	762	26	656	47	5	73	796	1005	89	244	119	10650	557	190	2990	1284	2593	144	46	444	581	470	6652	1572	481	115	1403	35	3352	1045	10437
OTU_7	212	257	878	9411	5657	2709	2022	10953	11042	753	7148	1712	2975	822	137	7358	5993	385	534	6198	1499	5564	226	1980	2375	4909	1485	2680	5609	7886	4136	1628	171	877	5574	7238	4773	523	6429	1841	3735	54	6370	9896	1833	1960	1914	622	1719	9513	3261	4996	253	1807	11560	791	192	168	495	104	6106	1856	4257	5913	489	4069	3272	848	4281	7182	253	9343	1155	3267	12386	2323	705	107	11537	1339	575	239	591	14266	10118	3630	2135	2226	704	4630	289	885	1447	7077	6672	1737	11477	988	4720	280	1875	817	3351	27	9	46	5	596	1023	0	15	1351	9	33	2	69	1	1	6	0	73	0	2	0	174	18	3	116	59	89	57	4	0	40	43	5	13	0	156	11	115	1190	0	86	25	12	2	0	1	25	0	69	0	35	3	509	73	1	289	1767	1	0	0	67	0	102	1	289	123	43	0	48	50	11	126	13	1	1	2	5	302	9	7	8	259	24	21	23	294
OTU_8	3895	22	7558	6772	8917	1198	1911	33	4134	17	5869	1048	26	43	94	44	900	202	140	1173	1401	4909	542	1157	62	69	417	2159	450	1285	1576	31763	21	602	23	296	2121	278	17	1356	42	29	239	87	92	1551	2168	2093	1750	1589	1537	110	40	1320	2575	63	38	37	367	17	36	953	2327	1947	5337	39	660	121	42	52	68	46	1346	389	108	57	216	12	1290	54	61	3253	804	48	2747	2175	2490	201	84	141	41	66	2465	61	49	403	2092	255	1607	493	2743	15	1599	898	8	5	24	3735	332	1	473	75	58	100	1	289	95	70	360	22	257	5	32	18	111	1272	139	794	142	3	75	31	173	107	907	33	5	41	77	26	282	3818	44	3051	6	952	3	181	24	119	158	5	177	237	11	310	385	153	19	15	41	714	53	76	45	499	24	109	53	1665	700	31	174	241	1323	302	6	11	39	46	93	17	3527	6	1200	77	1114	202	8961
OTU_9	309	646	1244	6424	3172	142	802	7454	2934	482	512	1222	37	750	160	350	243	537	1119	1003	617	223	762	1764	436	16	549	70	308	864	699	63	1218	2073	526	219	4595	1954	864	470	179	903	2547	530	1461	3913	1355	1765	291	1661	1508	386	1138	734	205	575	1692	486	2259	27	138	2233	3890	2438	431	49	358	891	4100	54	54	134	322	94	24	2292	69	120	41	155	1212	1329	529	13	3513	756	1183	1370	5919	216	216	1188	631	694	31	223	203	91	884	749	265	722	416	681	234	230	8	5727	3110	22	125	358	336	614	288	3042	298	351	751	149	1872	233	249	242	1015	497	263	1970	1075	150	144	18	216	411	1340	185	752	1153	953	502	84	813	129	186	544	560	443	383	298	171	232	71	73	166	86	1047	1220	529	1631	1	748	1117	433	70	1050	53	113	541	1850	317	191	204	702	1785	1134	480	183	577	108	427	186	143	725	225	884	449	632	581	151
OTU_10	73	0	11	25	1280	34	6	4059	185	1	1	55	4	50	306	350	10	31	10	522	163	26	6931	2346	9422	6	31	3	89	22	246	19	537	1314	21	15	16	136	715	18	4	58	161	4	9	4	8	7597	29	5	9	21	7	5	6	36	2	6	57	15	4	30	652	62	108	22	69	52	12	14	199	49	199	1050	30	9	2020	0	74	17	4	6	203	17	7695	45	2	67	7	30	19	7	23	1062	13	1	0	11	109	1595	35	11	4	530	381	8450	15598	180	368	17	1176	82	6206	25	3176	659	12	1390	9	105	4549	3791	1560	7	278	312	77	811	1016	18	2036	276	8	407	43	1519	3	9269	597	1278	122	336	3180	14	244	19	3682	327	14	121	234	11	109	96	522	103	1312	21	15506	2	282	165	58	104	829	34	5264	165	117	13	729	694	4521	458	6	23	82	5276	7197	15	3677	2562	96	398	1059	94	15	4996	121
