otu	TZ20	TZ7	TZ95	TZ55	TZ86	TZ114	TZ66	TZ15	TZ109	TZ85	TZ115	TZ71	TZ62	TZ64	TZ112	TZ63	TZ93	TZ74	TZ65	TZ45	TZ11	TZ53	TZ44	TZ34	TZ59	TZ73	TZ94	TZ16	TZ102	TZ38	TZ24	TZ58	TZ28	TZ83	TZ33	TZ29	TZ22	TZ107	TZ12	TZ32	TZ78	TZ6	TZ111	TZ47	TZ88	TZ30.1	TZ108	TZ19	TZ40	TZ91	TZ52	TZ37	TZ101	TZ57	TZ81	TZ13	TZ89	TZ4	TZ87	TZ3	TZ5	TZ8	TZ26	TZ75	TZ80	TZ60	TZ30	TZ56	TZ41	TZ76	TZ9	TZ50	TZ77	TZ68	TZ82	TZ104	TZ110	TZ96	TZ67	TZ92	TZ113	TZ105	TZ69	TZ48	TZ103	TZ61	TL100	TL30	TL107	TL106	TL80	TL76	TL65	TL7	TL96	TL86	TL103	TL95	TL111	TL61	TL94	TL62	TL63	TL37	TL116	TL31	TL118	TL13	TL121	TL57	TL87	TL64	TL2	TL108	TL73	TL55	TL109	TL77	TL38	TL12	TL67	TL10	TL3	TL14	TL97	TL123	TL6	100a	TL120	TL54	TL117	TL44	TL71	TL20	TL1	TL124	TL78	TL105	TL81	TL91	TL66	TL92	TL88	TL60	TL69	TL93	TL113	TL59	TL115	TL85	TL4	TL39	TL16	TL114	TL129	TL102	TL110	TL84	TL112	TL74	TL70	TL99	TL82	TL18	TL23	TL83	100b	TL90	TL27	TL5	TL58	TL119
OTU_1	OTU_1	15996	417	187	4179	2051	45	161	789	75	1205	259	719	1768	978	39461	1333	11605	88	324	1770	2565	183	74	610	41	254	215	8940	1119	2222	216	3757	137	2115	155	298	5409	417	158	5759	31622	171	910	164	1125	1183	13402	224	82	315	3132	307	101	141	209	623	2000	2828	1600	740	2521	4367	205	374	2282	2191	108	702	373	925	125	4332	2937	858	227	7860	2051	560	4528	6202	184	456	1884	7677	2682	1168	4529	29	392	8535	2044	930	11	72	307	81	739	133	522	44	1322	5484	25	140	80	119	179	2448	2350	255	315	1086	669	138	4252	158	948	545	479	1985	29	959	37780	4532	26990	311	375	401	3278	414	121	43	6784	61	406	457	123	327	232	441	640	426	3217	21	321	8719	1340	282	1891	36	524	3563	407	376	239	1967	623	3619	690	5	98	613	348	5467	402	3011	603	1490	13095	18984	2937	526
OTU_2	OTU_2	521	4376	1768	654	1027	1981	133	1872	7784	2139	45	2164	2375	2571	77	1479	1388	1053	3177	228	8708	3828	19460	761	6576	3728	3733	8541	927	9509	381	6979	2400	302	3921	3332	339	543	3064	2127	592	9141	752	4820	2064	2013	1584	1934	531	10876	2072	1499	1239	412	138	796	18964	5539	2248	10176	5060	99	8667	1031	3485	176	5969	3295	942	2611	2737	518	120	795	812	1060	927	748	2045	2393	603	17197	15990	4115	2643	8451	1875	1872	10915	891	116	2353	93	2041	558	14233	12726	12972	5411	571	5019	2421	776	12590	630	572	431	2902	860	681	1231	9848	6200	5580	4061	191	7110	670	2330	2548	9911	472	892	1082	1392	2022	1396	7704	5982	11914	1401	92	793	561	25127	2297	13607	391	6698	3370	1607	1761	4299	834	394	8566	15147	13370	932	1321	11505	19019	1074	2911	1716	1084	6578	137	4513	99	4281	6782	6490	5861	703	3540	12114	2150	11452	454	6886	381
OTU_3	OTU_3	106	2494	31	608	147	9	914	1202	983	6	2643	19290	223	12800	1449	561	819	6439	35	47	227	5354	61	22155	3002	30	8093	17448	39	44	322	83	3731	100	5736	8913	266	10088	79	65	74	17	2322	20560	67	28	50	391	215	138	571	17696	6521	1538	153	134	59	1290	66	300	5695	39	58	48	1239	416	36	1255	16901	12930	12140	35	120	27806	37	28	328	58	68	103	46	37	298	17301	1349	5187	6431	42720	57	110	793	38	183	8212	526	6202	77	9632	20504	31985	10776	1384	3791	174	14376	33491	27882	12317	10845	9782	1317	8100	141	26776	408	1585	520	2425	48	363	12055	2167	29	684	437	1640	4296	436	1025	3143	21538	14699	8532	3925	3791	58	118	34138	411	12398	6481	333	29	15468	4445	3217	418	4380	504	21624	118	247	1709	2908	27799	647	5865	1898	914	33515	29820	485	98	15213	50	4475	1675	1481	3880	46	9009	67
OTU_4	OTU_4	3768	2741	7169	2471	873	2097	2037	5500	3568	2454	1459	738	3323	1013	1877	2002	3118	2255	974	1955	3977	1356	1447	821	5637	4296	723	924	3491	3034	2338	3125	1624	7619	1054	892	12396	584	2560	3313	1574	3929	1483	879	1160	2434	2826	3324	2519	1313	5884	812	1015	1459	15632	741	3979	2288	849	5850	1134	3664	1677	6692	3905	2800	3623	1505	533	1415	1303	14130	15629	9510	7261	3988	3836	3325	3241	10332	10672	372	900	2386	1751	7169	756	14	118	128	2519	4753	223	483	1108	131	224	329	1354	174	380	181	178	744	119	72	63	692	1610	246	2100	104	544	172	236	38	431	908	58	737	233	2571	837	1169	3375	1154	2669	558	573	287	242	27	225	519	580	301	388	18	2030	840	869	1944	8899	228	502	79	287	310	75	54	1137	244	2517	691	338	257	1782	1704	166	109	92	355	88	547	54	1361	263	1077	222	439	319	7705
OTU_5	OTU_5	1460	784	49	8245	15732	2	45	66	193	130	4342	165	114	247	9372	36	1331	828	76	982	764	20	80	6200	54	925	15	7823	2059	1847	23	2571	2822	266	1053	24	776	54	303	2213	338	874	132	777	62	7874	219	219	26	389	805	383	38	28	17	16	192	161	241	134	183	1351	19	32	95	5222	1763	1461	34	37	18874	623	164	112	688	14653	254	497	632	5652	1331	6075	80	2058	2246	163	3712	349	780	21035	4759	76	4	305	18138	943	2072	12	3039	218	1709	7420	39	488	376	634	1140	767	1504	131	185	111	25	3367	19867	855	262	3948	430	504	4183	19321	3209	453	272	59	83	6	172	204	5387	38	7010	163	248	31	94	9	455	1203	819	591	138	42	38444	393	640	276	74	30	5151	95	138	443	185	544	69	10314	54	472	24	17	895	25628	44	2071	5	1295	714	1213	93	4630
OTU_6	OTU_6	541	1106	2144	429	6701	128	2476	1037	4558	1019	2172	2023	13271	1510	98	2950	75	4630	784	5969	2184	369	116	679	465	1721	466	978	1034	1305	1313	225	327	10006	983	2618	526	665	1449	1324	158	2865	59	412	349	1970	3462	859	6528	2374	1398	1839	139	1949	96	2897	416	16804	264	4513	1123	1161	1999	2101	724	6309	1609	449	3133	522	138	9627	1465	855	2468	195	4070	1121	1044	668	2428	46	67	773	2950	862	400	72	83	21	7248	2110	4	740	555	85	81	1060	1374	141	507	304	148	167	488	546	264	188	91	129	5461	4206	246	168	10494	37	4105	3778	148	145	686	3478	251	137	3954	63	1970	74	581	312	157	17	545	1655	250	744	1128	36	1582	673	607	762	26	656	47	5	73	796	1005	89	244	119	10650	557	190	2990	1284	2593	144	46	444	581	470	6652	1572	481	115	1403	35	3352	1045	10437
OTU_7	OTU_7	1316	3197	1107	579	347	26	85	4049	3218	156	186	25	1621	268	8	6176	6	4	1872	331	230	4614	29	712	1551	252	4520	103	3994	29	46	1811	1185	5	355	567	656	323	331	63	11730	574	1390	448	221	504	160	568	36	1125	24	603	27	66	6222	4517	2912	416	498	4497	525	162	52	3169	2898	116	619	5909	836	556	211	6494	1567	5152	3201	879	64	3751	26664	28	227	30	69	2443	10	3961	27	9	46	5	596	1023	0	15	1351	9	33	2	69	1	1	6	0	73	0	2	0	174	18	3	116	59	89	57	4	0	40	43	5	13	0	156	11	115	1190	0	86	25	12	2	0	1	25	0	69	0	35	3	509	73	1	289	1767	1	0	0	67	0	102	1	289	123	43	0	48	50	11	126	13	1	1	2	5	302	9	7	8	259	24	21	23	294
OTU_8	OTU_8	4531	1158	7458	1703	1334	1009	1856	985	2920	1285	2068	342	9503	573	1457	999	1532	925	799	638	623	3120	183	85	532	487	754	553	3663	10	1116	25	1634	139	694	299	204	248	270	380	916	876	921	318	292	494	1195	752	1773	1499	8584	1159	216	1023	2615	52	22	329	440	742	2021	28	1454	3940	246	1032	1896	152	1272	770	1066	23	47	1356	1133	21	2276	28	42	2812	2655	343	407	1076	3532	731	898	8	5	24	3735	332	1	473	75	58	100	1	289	95	70	360	22	257	5	32	18	111	1272	139	794	142	3	75	31	173	107	907	33	5	41	77	26	282	3818	44	3051	6	952	3	181	24	119	158	5	177	237	11	310	385	153	19	15	41	714	53	76	45	499	24	109	53	1665	700	31	174	241	1323	302	6	11	39	46	93	17	3527	6	1200	77	1114	202	8961
OTU_9	OTU_9	583	775	206	1159	1455	8	1434	2411	1477	563	902	233	889	317	1270	701	103	639	1807	1751	1661	2680	1675	1530	523	445	1548	831	483	719	2930	50	1281	506	2375	1578	835	2456	3973	3083	20	1757	841	1391	995	377	1148	818	1659	1759	72	268	1469	366	24	195	1099	1076	395	3190	1829	68	1375	41	149	2168	774	489	1555	850	1176	10	114	2614	1225	52	815	2096	5027	331	1840	4093	66	768	1435	2583	681	234	230	8	5727	3110	22	125	358	336	614	288	3042	298	351	751	149	1872	233	249	242	1015	497	263	1970	1075	150	144	18	216	411	1340	185	752	1153	953	502	84	813	129	186	544	560	443	383	298	171	232	71	73	166	86	1047	1220	529	1631	1	748	1117	433	70	1050	53	113	541	1850	317	191	204	702	1785	1134	480	183	577	108	427	186	143	725	225	884	449	632	581	151
OTU_10	OTU_10	31	5739	209	135	257	5	197	700	720	13	0	187	58	290	32	28	125	304	334	10	44	8114	8	451	41	10	1168	74	9	16	93	14	22	53	172	19	3	251	23	1656	58	2	30	9947	1268	304	129	170	579	19	3	33	560	138	309	16	586	182	2553	18	857	30	389	8	90	32	24	44	1889	439	2490	6	4	918	3887	79	290	8	50	47	295	2	59	17	1367	13	530	381	8450	15598	180	368	17	1176	82	6206	25	3176	659	12	1390	9	105	4549	3791	1560	7	278	312	77	811	1016	18	2036	276	8	407	43	1519	3	9269	597	1278	122	336	3180	14	244	19	3682	327	14	121	234	11	109	96	522	103	1312	21	15506	2	282	165	58	104	829	34	5264	165	117	13	729	694	4521	458	6	23	82	5276	7197	15	3677	2562	96	398	1059	94	15	4996	121
