ko	pathway	product	map
V1000001	K02996	Ribosome	small subunit ribosomal protein S9	map03010
V1000002	K06173	Transfer RNA biogenesis	tRNA pseudouridine38-40 synthase	ko03016
V1000003	K02879	Ribosome	large subunit ribosomal protein L17	map03010
V1000004	K03040	RNA polymerase	DNA-directed RNA polymerase subunit alpha	map03020
V1000005	K02948	Ribosome	small subunit ribosomal protein S11	map03010
V1000006	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000007	K02518	Translation factors	translation initiation factor IF-1	ko03012
V1000008	K00939	Purine metabolism	adenylate kinase	map00230
V1000009	K02876	Ribosome	large subunit ribosomal protein L15	map03010
V1000010	K02907	Ribosome	large subunit ribosomal protein L30	map03010
V1000011	K02881	Ribosome	large subunit ribosomal protein L18	map03010
V1000012	K02933	Ribosome	large subunit ribosomal protein L6	map03010
V1000013	K02994	Ribosome	small subunit ribosomal protein S8	map03010
V1000014	K02874	Ribosome	large subunit ribosomal protein L14	map03010
V1000015	K02961	Ribosome	small subunit ribosomal protein S17	map03010
V1000016	K02904	Ribosome	large subunit ribosomal protein L29	map03010
V1000017	K02878	Ribosome	large subunit ribosomal protein L16	map03010
V1000018	K02982	Ribosome	small subunit ribosomal protein S3	map03010
V1000019	K02890	Ribosome	large subunit ribosomal protein L22	map03010
V1000020	K02965	Ribosome	small subunit ribosomal protein S19	map03010
V1000021	K02906	Ribosome	large subunit ribosomal protein L3	map03010
V1000022	K02946	Ribosome	small subunit ribosomal protein S10	map03010
V1000023	K00948	Pentose phosphate pathway	ribose-phosphate pyrophosphokinase	map00030
V1000024	K04042	Amino sugar and nucleotide sugar metabolism	bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase	map00520
V1000025	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000026	K02528	Ribosome biogenesis	16S rRNA (adenine1518-N6/adenine1519-N6)-dimethyltransferase	ko03009
V1000027	K05985	Enzymes with EC numbers	ribonuclease M5	99980
V1000028	K03424	Enzymes with EC numbers	TatD DNase family protein	99980
V1000029	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000030	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000031	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000032	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000033	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000034	K03624	Transcription machinery	transcription elongation factor GreA	ko03021
V1000037	K01376	Peptidases and inhibitors	Ufm1-specific protease 2	ko01002
V1000038	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000039	K04068	Enzymes with EC numbers	anaerobic ribonucleoside-triphosphate reductase activating protein	99980
V1000040	K00527	Purine metabolism	ribonucleoside-triphosphate reductase (thioredoxin)	map00230
V1000041	K02440	Transporters	glycerol uptake facilitator	ko02000
V1000042	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000043	K00359	Enzymes with EC numbers	NADPH:quinone reductase	99980
V1000044	K01953	Alanine, aspartate and glutamate metabolism	asparagine synthase (glutamine-hydrolysing)	map00250
V1000045	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000046	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000047	K01104	Enzymes with EC numbers	protein-tyrosine phosphatase	99980
V1000048	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000049	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000050	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000051	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000052	K09686	NotAssigned	NotAssigned	NotAssigned
V1000055	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000056	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000057	K00948	Pentose phosphate pathway	ribose-phosphate pyrophosphokinase	map00030
V1000058	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1000059	K00754	Enzymes with EC numbers	L-malate glycosyltransferase	99980
V1000060	K03469	DNA replication	ribonuclease HI	map03030
V1000061	K02030	Transporters	polar amino acid transport system substrate-binding protein	ko02000
V1000062	K07023	Pyrimidine metabolism	5'-deoxynucleotidase	map00240
V1000063	K03799	Peptidases and inhibitors	heat shock protein HtpX	ko01002
V1000064	NotAssigned	NotAssigned	NotAssigned	NotAssigned
